項目別,加權後樣本數,合計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
總計,4968,100,31.8,44.56,44.56,27.97,42.74,30.76,38.16,7.1,6.74,9.99,3.17
性別,,,,,,,,,,,,,
男性,2427,100,31.03,44.44,41,33.74,46.03,24.48,37.64,6.25,7.65,11.84,3.34
女性,2541,100,32.54,44.69,47.95,22.46,39.59,36.76,38.67,7.91,5.88,8.22,3
教育程度,,,,,,,,,,,,,
國中及以下,155,100,23.4,41.41,45.84,18.66,37.21,31.77,35.62,12.57,6.39,6.38,7.66
高中(職),1560,100,27.68,39.87,49.62,19.46,44.04,32.97,37.06,11.2,6.89,9.64,3.18
專科,1352,100,29.69,43.97,48.81,26.8,42.76,33.8,35.46,7.16,5.72,11.35,3.55
大學,1682,100,36.36,48.4,38.56,35.48,41.45,28.12,41.49,3.35,6.79,9.98,2.75
碩士以上,219,100,45.06,54.49,27.35,44.77,47.07,15.88,39.01,2.44,11.94,6.73,0.79
