表040、青年勞工初次尋職時選擇工作主要考慮因素,,,,,,,,─按性別、年齡、教育程度、大專以上科系別分,,,,,,
,,,,,,中華民國,,九十五年七月,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
總                                 計," 4,968 ", 100.00 , 31.80 , 44.56 , 44.56 , 27.97 ,, 42.74 , 30.76 , 38.16 , 7.10 , 6.74 , 9.99 , 3.17 
  性          別,,,,,,,,,,,,,,
男    性," 2,427 ", 100.00 , 31.03 , 44.44 , 41.00 , 33.74 ,, 46.03 , 24.48 , 37.64 , 6.25 , 7.65 , 11.84 , 3.34 
女    性," 2,541 ", 100.00 , 32.54 , 44.69 , 47.95 , 22.46 ,, 39.59 , 36.76 , 38.67 , 7.91 , 5.88 , 8.22 , 3.00 
  年          齡     ,,,,,,,,,,,,,,
15~19歲, 158 , 100.00 , 29.44 , 42.62 , 42.52 , 13.74 ,, 28.97 , 34.67 , 36.84 , 13.79 , 10.87 , 4.88 , 10.01 
20~24歲," 1,038 ", 100.00 , 30.63 , 42.57 , 46.14 , 22.72 ,, 42.77 , 31.09 , 39.85 , 9.26 , 6.33 , 9.11 , 2.53 
25~29歲," 3,772 ", 100.00 , 32.22 , 45.19 , 44.21 , 30.01 ,, 43.30 , 30.51 , 37.76 , 6.23 , 6.68 , 10.44 , 3.06 
  教 育 程 度,,,,,,,,,,,,,,
國中及以下, 155 , 100.00 , 23.40 , 41.41 , 45.84 , 18.66 ,, 37.21 , 31.77 , 35.62 , 12.57 , 6.39 , 6.38 , 7.66 
高中(職)," 1,560 ", 100.00 , 27.68 , 39.87 , 49.62 , 19.46 ,, 44.04 , 32.97 , 37.06 , 11.20 , 6.89 , 9.64 , 3.18 
專科," 1,352 ", 100.00 , 29.69 , 43.97 , 48.81 , 26.80 ,, 42.76 , 33.80 , 35.46 , 7.16 , 5.72 , 11.35 , 3.55 
大學," 1,682 ", 100.00 , 36.36 , 48.40 , 38.56 , 35.48 ,, 41.45 , 28.12 , 41.49 , 3.35 , 6.79 , 9.98 , 2.75 
碩士以上, 219 , 100.00 , 45.06 , 54.49 , 27.35 , 44.77 ,, 47.07 , 15.88 , 39.01 , 2.44 , 11.94 , 6.73 , 0.79 
     大專以上科系別,,,,,,,,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 36.95 , 49.06 , 39.12 , 34.97 ,, 44.10 , 26.65 , 36.97 , 4.30 , 6.96 , 9.69 , 2.56 
商、管、法、人文," 1,725 ", 100.00 , 31.57 , 45.74 , 45.31 , 30.39 ,, 40.87 , 32.39 , 38.47 , 5.43 , 6.49 , 11.32 , 3.46 
傳播、藝術, 125 , 100.00 , 37.94 , 41.45 , 34.24 , 36.69 ,, 46.26 , 22.93 , 58.54 , 3.25 , 4.59 , 6.44 , 0.45 
其他, 77 , 100.00 , 38.57 , 47.46 , 32.77 , 30.21 ,, 39.87 , 30.96 , 46.38 , 4.88 , 10.11 , 5.32 , 2.49 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
-52-,,,,,,,,-53-,,,,,,
表041、青年勞工初次尋職時選擇工作主要考慮因素,,,,,,,,─按工作地區、行業、規模別分,,,,,,
,,,,,,中華民國,,九十五年七月,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
總                                 計," 4,968 ", 100.00 , 31.80 , 44.56 , 44.56 , 27.97 ,, 42.74 , 30.76 , 38.16 , 7.10 , 6.74 , 9.99 , 3.17 
  工   作  地    區,,,,,,,,,,,,,,
台北市 , 979 , 100.00 , 36.63 , 50.51 , 36.90 , 29.38 ,, 40.55 , 26.14 , 43.03 , 5.08 , 7.26 , 9.55 , 3.25 
高雄市  , 362 , 100.00 , 32.73 , 41.34 , 49.89 , 25.91 ,, 44.53 , 27.68 , 38.10 , 9.62 , 5.12 , 10.12 , 2.57 
北    部," 1,671 ", 100.00 , 29.89 , 43.67 , 43.18 , 29.98 ,, 44.56 , 32.75 , 35.96 , 7.72 , 7.04 , 9.77 , 3.46 
中    部," 1,094 ", 100.00 , 30.12 , 45.28 , 47.48 , 25.63 ,, 40.35 , 32.97 , 37.88 , 7.09 , 7.01 , 10.41 , 2.76 
南    部, 748 , 100.00 , 31.52 , 40.66 , 48.53 , 27.52 ,, 43.13 , 31.35 , 36.08 , 7.54 , 5.37 , 10.36 , 3.43 
東    部, 114 , 100.00 , 33.45 , 35.55 , 59.57 , 18.35 ,, 49.39 , 26.13 , 45.27 , 4.54 , 9.60 , 10.05 , 2.40 
  行          業,,,,,,,,,,,,,,
農林漁牧業, 4 , 100.00 , 33.33 , 41.69 , 60.83 , 24.15 ,, 36.51 , 38.93 , 25.18 , 9.49 , 4.73 , 12.71 , 1.37 
礦業及土石採取業, 2 , 100.00 , 20.10 , 18.97 , 69.71 , 19.67 ,, 50.15 , 33.05 , 35.41 , 21.02 , 13.61 , 7.80 , 3.30 
製造業," 1,753 ", 100.00 , 29.73 , 44.55 , 45.03 , 30.49 ,, 44.06 , 33.72 , 34.51 , 7.44 , 6.32 , 10.28 , 3.20 
水電燃氣業 , 5 , 100.00 , 34.51 , 41.43 , 52.47 , 35.57 ,, 46.60 , 27.17 , 30.31 , 6.36 , 10.87 , 9.06 , 4.51 
營造業, 168 , 100.00 , 42.79 , 48.21 , 51.12 , 25.00 ,, 36.98 , 24.23 , 41.09 , 4.10 , 7.54 , 6.39 , 3.66 
批發及零售業," 1,413 ", 100.00 , 30.77 , 45.72 , 43.00 , 26.04 ,, 41.11 , 32.83 , 39.78 , 7.90 , 5.89 , 9.86 , 2.97 
住宿及餐飲業, 247 , 100.00 , 30.81 , 48.99 , 45.30 , 22.11 ,, 40.18 , 23.70 , 44.71 , 5.85 , 9.27 , 11.30 , 2.92 
運輸、倉儲及通信業, 159 , 100.00 , 29.16 , 39.47 , 44.39 , 30.54 ,, 44.10 , 25.08 , 44.22 , 8.48 , 10.20 , 10.53 , 2.07 
金融及保險業, 248 , 100.00 , 29.81 , 41.84 , 52.16 , 36.16 ,, 46.90 , 26.64 , 31.17 , 5.62 , 4.55 , 13.07 , 1.89 
不動產及租賃業, 58 , 100.00 , 34.38 , 36.96 , 40.80 , 30.75 ,, 42.62 , 30.68 , 37.15 , 2.76 , 4.34 , 13.13 , 5.46 
