項    目    別,樣 本 數,合計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,薪資及福利,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
總計,4012,100,25.93,38.21,41.12,26.59,55.04,30.95,33.42,5.35,8.13,10.53,3.16
  性別,,,,,,,,,,,,,
  男性,1995,100,24.99,40.14,39.28,30.95,51.49,26.48,31.59,4.76,9.25,11.78,3.54
  女性,2017,100,26.86,36.29,42.94,22.28,58.55,35.37,35.23,5.93,7.01,9.28,2.79
  教育程度別,,,,,,,,,,,,,
  國中及以下,244,100,18.67,39.74,49.61,15.32,47.87,37.05,34.6,7.13,5.57,5.61,6.24
  高中(職),1276,100,19.89,33.51,47.01,19.53,54.11,36.41,31.89,7.11,7.28,10.21,4.2
  專科,643,100,24.29,35.99,45.36,28.02,57.57,30.14,28.71,4.93,7.3,12.33,3.37
  大學,1627,100,30.86,42.03,36.05,30.89,55.79,28.36,34.74,4.2,8.88,11.16,2.01
  碩士及以上,222,100,37.21,41.86,22.8,43.87,55.43,14.21,44.86,2.94,12.68,7.87,1.68
