項目別,樣本數,合計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,薪資及福利,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性,有升遷機會,其他
總計,4014,100,44.17,48.96,54.5,35.17,51.56,42.12,44.69,7.85,22.63,21.88,2.45
性別,,,,,,,,,,,,,
男性,1859,100,43.93,50.64,52.37,38.91,49.15,36.75,44.25,7.95,25.23,25.81,2.43
女性,2155,100,44.41,47.28,56.64,31.42,53.97,47.5,45.13,7.75,20.03,17.93,2.48
 教育程度別,,,,,,,,,,,,,
國中及以下,203,100,21.59,39.4,45.9,19.46,40.66,46.58,33.76,14.19,19.46,15.53,4.95
高中(職),1088,100,31.57,40.31,57.9,25.28,49.77,45.63,40.89,10.25,17.7,18.81,2.41
專科,440,100,39.15,49.66,60.16,33.45,54.54,44.32,38.54,6.97,19.8,19.71,2.72
大學,2017,100,52.44,53.28,53.65,41.36,51.78,40.49,48.15,6.23,24.88,24.31,2.29
碩士及以上,266,100,69.71,64.13,45.05,52.16,62.42,31.16,56.5,4.18,35.39,27.51,1.16
