表29、青年勞工初次尋職時選擇工作的考慮因素,,,,,,,─按性別、年齡、教育程度別分,,,,,,,
,,,,,中華民國,,99年10月,,,,,,,單位：人，%
項    目    別,樣 本 數,合    計,"能學以致用
的工作","能學習到
知識技能",工作穩定性,,有發展前景,薪資及福利,通勤方便,"符合自己興趣
的工作",工作負擔較輕,有挑戰性,有升遷機會,其他
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總                                 計," 4,014 ", 100.00 , 44.17 , 48.96 , 54.50 ,, 35.17 , 51.56 , 42.12 , 44.69 , 7.85 , 22.63 , 21.88 , 2.45 
  性別,,,,,,,,,,,,,,
男性," 1,859 ", 100.00 , 43.93 , 50.64 , 52.37 ,, 38.91 , 49.15 , 36.75 , 44.25 , 7.95 , 25.23 , 25.81 , 2.43 
女性," 2,155 ", 100.00 , 44.41 , 47.28 , 56.64 ,, 31.42 , 53.97 , 47.50 , 45.13 , 7.75 , 20.03 , 17.93 , 2.48 
  年齡別    ,,,,,,,,,,,,,,
15~19歲, 139 , 100.00 , 37.49 , 43.74 , 53.66 ,, 21.98 , 42.81 , 49.60 , 37.28 , 23.70 , 15.59 , 18.24 , 4.28 
20~24歲, 955 , 100.00 , 41.56 , 47.11 , 53.64 ,, 34.28 , 49.23 , 46.08 , 44.87 , 8.49 , 22.79 , 21.85 , 2.67 
25~29歲," 2,920 ", 100.00 , 46.01 , 50.32 , 54.95 ,, 37.02 , 53.51 , 39.64 , 45.46 , 5.79 , 23.36 , 22.30 , 2.15 
  教育程度別,,,,,,,,,,,,,,
國中及以下, 203 , 100.00 , 21.59 , 39.40 , 45.90 ,, 19.46 , 40.66 , 46.58 , 33.76 , 14.19 , 19.46 , 15.53 , 4.95 
高中(職)," 1,088 ", 100.00 , 31.57 , 40.31 , 57.90 ,, 25.28 , 49.77 , 45.63 , 40.89 , 10.25 , 17.70 , 18.81 , 2.41 
專科, 440 , 100.00 , 39.15 , 49.66 , 60.16 ,, 33.45 , 54.54 , 44.32 , 38.54 , 6.97 , 19.80 , 19.71 , 2.72 
大學," 2,017 ", 100.00 , 52.44 , 53.28 , 53.65 ,, 41.36 , 51.78 , 40.49 , 48.15 , 6.23 , 24.88 , 24.31 , 2.29 
碩士及以上, 266 , 100.00 , 69.71 , 64.13 , 45.05 ,, 52.16 , 62.42 , 31.16 , 56.50 , 4.18 , 35.39 , 27.51 , 1.16 
專科以上科系別,,,,,,,,,,,,,,
人文, 447 , 100.00 , 57.38 , 52.92 , 53.99 ,, 36.51 , 50.20 , 42.04 , 57.96 , 6.47 , 25.73 , 21.39 , 3.51 
社會," 1,189 ", 100.00 , 44.73 , 50.48 , 52.14 ,, 41.09 , 53.33 , 42.61 , 43.83 , 5.97 , 23.38 , 21.85 , 1.84 
科技," 1,159 ", 100.00 , 57.80 , 57.85 , 54.92 ,, 43.48 , 54.98 , 37.03 , 47.61 , 6.16 , 27.59 , 27.18 , 2.26 
說明1：考慮因素可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,,
