"表028、青年勞工初次尋職期間─按性別、年齡、教育程度、
大專以上科系別分",,,,,,,,,,
,,,,中華民國九十五年七月,,,,,,單位：人，%，月
項    目    別,加  權  後        樣  本  數,合    計,立即   就業,1個     月內,1-2個月,2-3個月,3-4個月,4-6個月,6個月以上,平均找了多久
總                                 計," 4,968 ", 100.00 , 10.62 , 13.44 , 43.72 , 13.26 , 8.70 , 3.21 , 7.05 , 1.88 
  性          別,,,,,,,,,,
男    性," 2,427 ", 100.00 , 10.34 , 11.40 , 45.42 , 12.76 , 8.67 , 3.70 , 7.72 , 1.99 
女    性," 2,541 ", 100.00 , 10.88 , 15.40 , 42.10 , 13.74 , 8.72 , 2.75 , 6.42 , 1.78 
  年          齡     ,,,,,,,,,,
15~19歲, 158 , 100.00 , 17.07 , 8.16 , 57.03 , 4.74 , 5.51 , 3.64 , 3.86 , 1.34 
20~24歲," 1,038 ", 100.00 , 10.91 , 13.05 , 45.32 , 14.16 , 8.90 , 2.85 , 4.82 , 1.77 
25~29歲," 3,772 ", 100.00 , 10.27 , 13.77 , 42.72 , 13.37 , 8.77 , 3.29 , 7.80 , 1.94 
  教 育 程 度,,,,,,,,,,
國中及以下, 155 , 100.00 , 3.31 , 10.61 , 49.46 , 11.86 , 4.38 , 2.80 , 17.57 , 2.57 
高中(職)," 1,560 ", 100.00 , 11.47 , 12.00 , 46.42 , 11.76 , 8.47 , 2.42 , 7.45 , 2.08 
專科," 1,352 ", 100.00 , 11.08 , 11.54 , 43.89 , 13.55 , 9.26 , 3.78 , 6.90 , 1.75 
大學," 1,682 ", 100.00 , 9.04 , 16.40 , 40.49 , 14.81 , 8.86 , 3.69 , 6.71 , 1.84 
碩士以上, 219 , 100.00 , 18.96 , 14.74 , 44.18 , 11.26 , 8.60 , 1.88 , 0.37 , 1.10 
     大專以上科系別,,,,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 8.87 , 14.14 , 44.84 , 13.48 , 9.02 , 4.12 , 5.54 , 1.79 
商、管、法、人文," 1,725 ", 100.00 , 11.67 , 13.92 , 40.18 , 14.58 , 9.20 , 3.30 , 7.16 , 1.75 
傳播、藝術, 125 , 100.00 , 14.20 , 14.63 , 42.09 , 12.31 , 7.97 , 3.15 , 5.64 , 1.70 
其他, 77 , 100.00 , 8.84 , 23.76 , 39.99 , 14.74 , 6.38 , 2.43 , 3.86 , 1.40 
,,,,,,,,,,
-36-,,,,,,,,,,
表029、青年勞工初次尋職期間─按工作地區、行業、規模別分,,,,,,,,,,
,,,,中華民國九十五年七月,,,,,,單位：人，%，月
項    目    別,加  權  後        樣  本  數,合    計,立即   就業,1個     月內,1-2個月,2-3個月,3-4個月,4-6個月,6個月以上,平均找了多久
總                                 計," 4,968 ", 100.00 , 10.62 , 13.44 , 43.72 , 13.26 , 8.70 , 3.21 , 7.05 , 1.88 
  地          區,,,,,,,,,,
台北市 , 979 , 100.00 , 12.53 , 16.68 , 42.30 , 11.65 , 8.85 , 2.68 , 5.30 , 1.62 
高雄市  , 362 , 100.00 , 11.15 , 10.83 , 42.66 , 13.60 , 9.41 , 4.00 , 8.35 , 1.90 
北    部," 1,671 ", 100.00 , 10.80 , 14.89 , 44.62 , 13.18 , 8.01 , 2.68 , 5.82 , 1.68 
中    部," 1,094 ", 100.00 , 10.21 , 11.54 , 45.14 , 12.43 , 9.88 , 3.22 , 7.58 , 2.14 
南    部, 748 , 100.00 , 8.29 , 10.81 , 42.68 , 16.56 , 8.05 , 4.57 , 9.04 , 2.11 
東    部, 114 , 100.00 , 9.00 , 8.34 , 39.27 , 13.52 , 8.13 , 3.83 , 17.92 , 3.00 
