表32、青年勞工初次尋職期間─按性別、年齡、教育程度、工作年資別分,,,,,,,,,,
,,,,中華民國,97年10月,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,立即就業,1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 8.88 , 46.41 , 30.91 , 10.02 , 2.22 , 1.03 , 0.52 , 1.78 
  性別,,,,,,,,,,
  男性," 1,995 ", 100.00 , 7.84 , 46.02 , 31.02 , 10.87 , 2.57 , 1.10 , 0.58 , 1.88 
  女性," 2,017 ", 100.00 , 9.91 , 46.80 , 30.81 , 9.17 , 1.88 , 0.97 , 0.45 , 1.68 
  年齡別    ,,,,,,,,,,
  15~19歲, 322 , 100.00 , 10.29 , 55.50 , 22.41 , 8.25 , 1.22 , 2.06 , 0.27 , 1.49 
  20~24歲," 1,267 ", 100.00 , 10.79 , 47.07 , 30.10 , 9.22 , 1.89 , 0.52 , 0.41 , 1.58 
  25~29歲," 2,423 ", 100.00 , 7.70 , 44.86 , 32.47 , 10.67 , 2.53 , 1.17 , 0.61 , 1.92 
  教育程度別,,,,,,,,,,
  國中及以下, 244 , 100.00 , 6.79 , 56.71 , 20.45 , 10.51 , 1.52 , 3.60 , 0.42 , 1.84 
  高中(職)," 1,276 ", 100.00 , 9.82 , 47.98 , 28.41 , 9.81 , 2.42 , 0.61 , 0.95 , 1.83 
  專科, 643 , 100.00 , 8.59 , 50.92 , 27.92 , 9.61 , 2.17 , 0.68 , 0.12 , 1.58 
  大學," 1,627 ", 100.00 , 8.48 , 42.18 , 35.19 , 10.21 , 2.27 , 1.26 , 0.42 , 1.83 
  碩士及以上, 222 , 100.00 , 9.61 , 44.03 , 34.12 , 10.50 , 1.69 , 0.02 , 0.03 , 1.60 
 專科以上科系別,,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 9.06 , 46.15 , 32.01 , 9.36 , 1.96 , 0.91 , 0.55 , 1.76 
  商、管、教育、法、文," 1,377 ", 100.00 , 8.53 , 43.66 , 34.01 , 10.23 , 2.31 , 1.08 , 0.19 , 1.74 
  傳播、藝術, 118 , 100.00 , 12.28 , 40.66 , 33.51 , 11.05 , 2.50 , - , - , 1.71 
  其他, 158 , 100.00 , 7.26 , 43.22 , 36.17 , 10.08 , 2.02 , 1.26 , - , 1.65 
註：1~3個月(含)係指超過1個月至3個月，3~6個月(含)為超過3個月以上至6個月者，餘類推。,,,,,,,,,,
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,
表35、青年勞工初次尋職期間─按工作地區、行業、規模別分,,,,,,,,,,
,,,,中華民國,97年10月,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,立即就業,1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 8.88 , 46.41 , 30.91 , 10.02 , 2.22 , 1.03 , 0.52 , 1.78 
  工作地區別,,,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 9.07 , 46.70 , 30.48 , 10.34 , 1.92 , 0.92 , 0.57 , 1.70 
  高雄市  , 229 , 100.00 , 11.30 , 39.62 , 35.32 , 9.70 , 1.05 , 1.67 , 1.34 , 2.11 
  北    區," 1,287 ", 100.00 , 8.15 , 48.48 , 30.58 , 9.06 , 2.26 , 1.08 , 0.39 , 1.75 
  中    區, 771 , 100.00 , 9.25 , 46.99 , 29.68 , 10.08 , 2.74 , 0.76 , 0.50 , 1.77 
  南    區, 508 , 100.00 , 8.87 , 42.19 , 32.90 , 11.99 , 2.52 , 1.28 , 0.24 , 1.88 
  東    區, 35 , 100.00 , 5.60 , 53.10 , 27.35 , 6.53 , 3.19 , 1.82 , 2.42 , 2.07 
  行業別,,,,,,,,,,
  農林漁牧業, 3 , 100.00 , 11.68 , 45.20 , 30.30 , 5.82 , 2.03 , 4.98 , - , 2.02 
  礦業及土石採取業, 1 , 100.00 , 3.96 , 46.91 , 29.66 , 11.94 , 7.53 , - , - , 2.17 
  製造業," 1,334 ", 100.00 , 8.52 , 46.68 , 32.70 , 8.98 , 2.23 , 0.62 , 0.28 , 1.71 
  水電燃氣業 , 5 , 100.00 , 10.48 , 32.89 , 28.03 , 19.47 , 5.12 , 3.28 , 0.73 , 2.86 
  營造業, 135 , 100.00 , 4.56 , 60.60 , 23.45 , 6.77 , 3.87 , - , 0.76 , 1.61 
  批發及零售業," 1,154 ", 100.00 , 8.22 , 44.42 , 32.21 , 11.46 , 2.40 , 0.88 , 0.42 , 1.81 
