表30、青年勞工初次尋職時間─按性別、年齡、教育程度別分,,,,,,,,,,
,,,中華民國,99年10月,,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,"立即
就業",1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均
尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
總                                 計," 4,014 ", 100.00 , 14.71 , 42.02 , 27.62 , 10.64 , 1.51 , 2.11 , 1.38 , 2.28 
  性別,,,,,,,,,,
男性," 1,859 ", 100.00 , 12.50 , 42.66 , 27.81 , 10.91 , 1.89 , 2.55 , 1.68 , 2.46 
女性," 2,155 ", 100.00 , 16.93 , 41.39 , 27.44 , 10.36 , 1.14 , 1.67 , 1.07 , 2.10 
  年齡別    ,,,,,,,,,,
15~19歲, 139 , 100.00 , 20.28 , 48.22 , 22.22 , 9.18 , - , - , 0.11 , 1.50 
20~24歲, 955 , 100.00 , 18.15 , 42.23 , 25.88 , 8.56 , 1.10 , 2.76 , 1.32 , 2.12 
25~29歲," 2,920 ", 100.00 , 12.66 , 41.24 , 28.96 , 11.66 , 1.86 , 2.08 , 1.54 , 2.43 
  教育程度別,,,,,,,,,,
國中及以下, 203 , 100.00 , 17.54 , 45.96 , 24.21 , 7.05 , 1.64 , 1.49 , 2.11 , 2.29 
高中(職)," 1,088 ", 100.00 , 15.16 , 46.25 , 24.87 , 9.16 , 0.79 , 2.49 , 1.28 , 2.13 
專科, 440 , 100.00 , 14.09 , 46.54 , 24.04 , 11.27 , 1.11 , 1.41 , 1.54 , 2.21 
大學," 2,017 ", 100.00 , 14.28 , 38.38 , 29.74 , 11.92 , 2.04 , 2.35 , 1.30 , 2.40 
碩士及以上, 266 , 100.00 , 14.16 , 37.98 , 33.58 , 10.72 , 1.63 , 0.55 , 1.37 , 2.23 
專科以上科系別,,,,,,,,,,
人文, 447 , 100.00 , 13.36 , 40.28 , 31.23 , 8.90 , 2.58 , 3.06 , 0.60 , 2.32 
社會," 1,189 ", 100.00 , 15.20 , 39.04 , 28.17 , 12.41 , 1.90 , 2.20 , 1.09 , 2.30 
科技," 1,159 ", 100.00 , 13.12 , 40.26 , 29.22 , 12.51 , 1.64 , 1.45 , 1.80 , 2.43 
說明1：1~3個月(含)係指超過1個月至3個月，3~6個月(含)為超過3個月以上至6個月者，餘類推。,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,
