"表20 青年勞工初次
",,,,,,,,"尋職遭遇到困難情形
",,,,,,
 中華民國 ,,,,,,,, 101年 10月 ,,,,,, 單位：人，％ 
項目別,樣本數,合計,有遇到,,,,,困難 ,,,,,,"沒有遇
到困難"
,,,計,"求職管
道不足",求職面試技巧不足或不會寫履歷,工作內容要求不瞭解,,"不知道自己適合
做哪方面工作",技能不足,學歷不足,經歷不足,適合的職缺少,其他,
總計," 4,064 ", 100.00 , 62.55 , 7.79 , 16.04 , 12.49 ,, 33.55 , 18.76 , 9.99 , 36.60 , 14.95 , 0.47 , 37.45 
性別,,,,,,,,,,,,,,
男," 1,679 ", 100.00 , 61.71 , 8.50 , 14.85 , 12.49 ,, 30.81 , 20.05 , 12.38 , 36.21 , 13.84 , 0.22 , 38.29 
女," 2,385 ", 100.00 , 63.32 , 7.12 , 17.15 , 12.49 ,, 36.11 , 17.57 , 7.77 , 36.96 , 15.99 , 0.70 , 36.68 
年齡,,,,,,,,,,,,,,
15-19歲, 136 , 100.00 , 48.42 , 3.64 , 6.98 , 7.16 ,, 30.69 , 12.35 , 8.94 , 29.95 , 6.21 , - , 51.58 
20-24歲, 962 , 100.00 , 62.27 , 7.85 , 15.69 , 13.16 ,, 32.90 , 17.88 , 10.55 , 35.59 , 14.68 , 0.75 , 37.73 
25-29歲," 2,966 ", 100.00 , 64.98 , 8.43 , 17.69 , 12.98 ,, 34.37 , 20.27 , 9.86 , 38.22 , 16.52 , 0.39 , 35.02 
教育程度,,,,,,,,,,,,,,
國中及以下, 137 , 100.00 , 54.76 , 6.00 , 3.27 , 1.51 ,, 28.51 , 14.86 , 23.73 , 24.93 , 9.21 , - , 45.24 
高中（職）," 1,020 ", 100.00 , 56.25 , 8.24 , 11.86 , 9.65 ,, 31.27 , 17.03 , 16.29 , 30.25 , 11.47 , 0.41 , 43.75 
專科, 285 , 100.00 , 65.60 , 8.63 , 19.81 , 7.54 ,, 35.13 , 22.90 , 10.87 , 42.40 , 13.02 , 0.26 , 34.40 
大學," 2,313 ", 100.00 , 66.15 , 7.63 , 19.29 , 14.88 ,, 35.90 , 20.08 , 5.59 , 39.92 , 17.21 , 0.54 , 33.85 
碩士及以上, 309 , 100.00 , 65.98 , 7.54 , 16.19 , 19.42 ,, 28.99 , 15.83 , 4.35 , 42.38 , 19.25 , 0.71 , 34.02 
專科以上科系,,,,,,,,,,,,,,
人文, 535 , 100.00 , 61.96 , 7.58 , 15.76 , 15.31 ,, 33.63 , 16.83 , 2.98 , 39.23 , 17.90 , 1.02 , 38.04 
社會," 1,286 ", 100.00 , 70.05 , 7.96 , 19.15 , 14.22 ,, 38.52 , 21.37 , 6.89 , 42.22 , 18.53 , 0.38 , 29.95 
科技," 1,086 ", 100.00 , 63.82 , 7.54 , 20.33 , 14.83 ,, 31.94 , 19.74 , 6.46 , 39.19 , 15.00 , 0.46 , 36.18 
說明1：遭遇困難情形可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,
