表037、青年勞工初次尋職遭遇到的困難情形 ─按性別、年齡、教育程度      、大專以上科系別分,,,,,,,,,,
,,,中華民國九十五年七月,,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,有遇到困難，遇到的困難為,,,,,,,沒有遇到困難
,,,計,求職管道不足,求職面試技巧不足,工作內容要求不瞭解,不知道做哪方面工作,技能    不足,其他,
總                                 計," 4,968 ", 100.00 , 67.48 , 18.46 , 23.43 , 20.78 , 47.17 , 27.48 , 3.21 , 32.52 
  性          別,,,,,,,,,,
男    性," 2,427 ", 100.00 , 66.90 , 18.64 , 21.71 , 21.79 , 45.33 , 29.63 , 3.06 , 33.10 
女    性," 2,541 ", 100.00 , 68.03 , 18.28 , 25.07 , 19.81 , 48.93 , 25.44 , 3.36 , 31.97 
  年          齡     ,,,,,,,,,,
15~19歲, 158 , 100.00 , 60.15 , 18.83 , 11.74 , 19.23 , 46.34 , 22.45 , 4.92 , 39.85 
20~24歲," 1,038 ", 100.00 , 68.51 , 19.08 , 22.25 , 19.68 , 50.86 , 25.21 , 3.16 , 31.49 
25~29歲," 3,772 ", 100.00 , 67.50 , 18.27 , 24.24 , 21.15 , 46.19 , 28.32 , 3.16 , 32.50 
  教 育 程 度,,,,,,,,,,
國中及以下, 155 , 100.00 , 66.64 , 18.28 , 12.63 , 15.73 , 42.43 , 32.64 , 7.48 , 33.36 
高中(職)," 1,560 ", 100.00 , 63.09 , 20.01 , 15.80 , 17.59 , 44.36 , 28.68 , 3.82 , 36.91 
專科," 1,352 ", 100.00 , 68.03 , 19.77 , 26.44 , 21.04 , 48.65 , 28.14 , 2.23 , 31.97 
大學," 1,682 ", 100.00 , 72.29 , 17.38 , 28.97 , 23.10 , 50.55 , 26.91 , 3.11 , 27.71 
碩士以上, 219 , 100.00 , 58.93 , 7.73 , 24.27 , 27.62 , 35.52 , 15.68 , 2.81 , 41.07 
     大專以上科系別,,,,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 67.57 , 16.50 , 28.20 , 24.45 , 45.13 , 26.75 , 2.21 , 32.43 
商、管、法、人文," 1,725 ", 100.00 , 71.87 , 18.82 , 28.21 , 21.82 , 52.47 , 26.88 , 2.72 , 28.13 
傳播、藝術, 125 , 100.00 , 64.04 , 14.23 , 18.27 , 19.35 , 38.62 , 24.63 , 7.60 , 35.96 
其他, 77 , 100.00 , 63.58 , 19.84 , 18.76 , 11.49 , 44.03 , 23.90 , 3.55 , 36.42 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,
-48-,,,,,,,,,,
表038、青年勞工初次尋職遭遇到的困難情形─按工作地區、行業、               規模別分,,,,,,,,,,
,,,中華民國九十五年七月,,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,有遇到困難，遇到的困難為,,,,,,,沒有遇到困難
,,,計,求職管道不足,求職面試技巧不足,工作內容要求不瞭解,不知道做哪方面工作,技能    不足,其他,
總                                 計," 4,968 ", 100.00 , 67.48 , 18.46 , 23.43 , 20.78 , 47.17 , 27.48 , 3.21 , 32.52 
  工   作  地    區,,,,,,,,,,
台北市 , 979 , 100.00 , 66.31 , 14.29 , 25.29 , 20.91 , 48.21 , 24.45 , 2.19 , 33.69 
高雄市  , 362 , 100.00 , 67.32 , 20.26 , 23.67 , 19.34 , 43.57 , 27.39 , 2.45 , 32.68 
北    部," 1,671 ", 100.00 , 68.49 , 16.46 , 24.85 , 22.21 , 49.64 , 28.25 , 2.80 , 31.51 
中    部," 1,094 ", 100.00 , 67.15 , 21.84 , 21.50 , 19.71 , 44.94 , 29.21 , 4.76 , 32.85 
南    部, 748 , 100.00 , 67.10 , 20.30 , 20.67 , 20.24 , 45.02 , 27.77 , 3.78 , 32.90 
東    部, 114 , 100.00 , 68.71 , 33.32 , 22.38 , 17.14 , 49.10 , 24.26 , 1.86 , 31.29 
  行          業,,,,,,,,,,
農林漁牧業, 4 , 100.00 , 70.65 , 19.71 , 22.74 , 14.24 , 54.99 , 24.10 , 7.07 , 29.35 
礦業及土石採取業, 2 , 100.00 , 54.31 , 27.34 , 8.65 , 16.91 , 36.54 , 16.91 , 6.91 , 45.69 
製造業," 1,753 ", 100.00 , 68.17 , 18.00 , 24.40 , 21.93 , 48.44 , 30.33 , 3.71 , 31.83 
水電燃氣業 , 5 , 100.00 , 69.38 , 18.55 , 23.53 , 32.74 , 39.38 , 35.38 , 4.53 , 30.62 
營造業, 168 , 100.00 , 62.66 , 19.06 , 17.00 , 21.01 , 40.72 , 29.87 , - , 37.34 
批發及零售業," 1,413 ", 100.00 , 68.46 , 18.58 , 22.88 , 19.84 , 49.26 , 26.55 , 3.40 , 31.54 
住宿及餐飲業, 247 , 100.00 , 65.25 , 20.28 , 17.69 , 17.42 , 46.54 , 19.03 , 1.38 , 34.75 
運輸、倉儲及通信業, 159 , 100.00 , 65.32 , 16.21 , 23.24 , 19.18 , 46.34 , 27.04 , 2.27 , 34.68 
