表32、青年勞工初次尋職遭遇到困難情形,,,,,,,─按性別、年齡、教育程度別分,,,,,,,
,,,,,中華民國,,99年10月,,,,,,,單位：人，%
項    目    別,樣 本 數,合    計,有遇到困難，遇到的困難為,,,,,,,,,,,沒有遇到困難
,,,計,"求職管道
不足","求職面試技
巧不足或不
會寫履歷",,"工作內容要求
不瞭解","不知道自己適合
做哪方面工作",技能不足,學歷不足,經歷不足,適合的職缺少,其他,
,,,,,,,,,,,,,,
總                                 計," 4,014 ", 100.00 , 49.18 , 10.31 , 16.37 ,, 11.29 , 26.37 , 18.51 , 12.11 , 31.94 , 13.41 , 2.02 , 50.82 
  性別,,,,,,,,,,,,,,
男性," 1,859 ", 100.00 , 47.80 , 10.04 , 14.73 ,, 11.87 , 22.99 , 18.34 , 13.74 , 29.45 , 11.67 , 2.40 , 52.20 
女性," 2,155 ", 100.00 , 50.56 , 10.58 , 18.00 ,, 10.71 , 29.75 , 18.68 , 10.49 , 34.43 , 15.15 , 1.63 , 49.44 
  年齡別    ,,,,,,,,,,,,,,
15~19歲, 139 , 100.00 , 40.48 , 9.38 , 8.65 ,, 3.97 , 23.90 , 13.37 , 6.35 , 21.20 , 8.89 , 2.55 , 59.52 
20~24歲, 955 , 100.00 , 48.22 , 10.87 , 16.09 ,, 10.45 , 26.30 , 17.69 , 12.84 , 31.94 , 13.18 , 2.23 , 51.78 
25~29歲," 2,920 ", 100.00 , 50.56 , 10.18 , 17.35 ,, 12.47 , 26.67 , 19.43 , 12.46 , 33.15 , 14.01 , 1.87 , 49.44 
  教育程度別,,,,,,,,,,,,,,
國中及以下, 203 , 100.00 , 46.78 , 11.52 , 9.98 ,, 7.05 , 18.44 , 13.27 , 19.47 , 26.11 , 5.69 , 3.92 , 53.22 
高中(職)," 1,088 ", 100.00 , 45.15 , 10.03 , 12.19 ,, 8.07 , 24.53 , 16.86 , 19.31 , 26.96 , 12.18 , 1.91 , 54.85 
專科, 440 , 100.00 , 46.09 , 11.82 , 15.42 ,, 10.47 , 27.03 , 19.29 , 16.51 , 31.32 , 10.79 , 0.97 , 53.91 
大學," 2,017 ", 100.00 , 53.46 , 10.96 , 20.68 ,, 13.81 , 29.47 , 21.28 , 7.21 , 36.63 , 16.02 , 1.92 , 46.54 
碩士及以上, 266 , 100.00 , 45.08 , 4.10 , 12.90 ,, 13.33 , 19.99 , 11.02 , 1.15 , 28.39 , 12.14 , 3.02 , 54.92 
專科以上科系別,,,,,,,,,,,,,,
人文, 447 , 100.00 , 51.62 , 11.21 , 16.93 ,, 9.45 , 27.97 , 19.69 , 7.83 , 38.78 , 18.90 , 2.07 , 48.38 
科技," 1,189 ", 100.00 , 50.04 , 9.90 , 18.90 ,, 11.98 , 30.64 , 19.65 , 7.15 , 34.82 , 15.68 , 1.40 , 49.96 
社會," 1,159 ", 100.00 , 52.66 , 10.51 , 19.99 ,, 16.02 , 25.70 , 20.25 , 9.23 , 33.94 , 13.41 , 2.27 , 47.34 
說明1：遇到困難可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,,
