表20 青年勞工初次就業年齡,,,,,,,
,, 中華民國105年10月 ,,,,, 單位：人，％，歲 
項目別,樣本數,合計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
總計," 4,047 ", 100.00 , 19.85 , 14.29 , 60.47 , 5.39 , 21.66 
性別,,,,,,,
男," 1,641 ", 100.00 , 22.98 , 14.03 , 54.04 , 8.95 , 21.83 
女," 2,406 ", 100.00 , 16.96 , 14.53 , 66.43 , 2.08 , 21.50 
教育程度,,,,,,,
國中及以下, 72 , 100.00 , 88.58 , 10.34 , 1.08 , -   , 16.53 
高中（職）, 796 , 100.00 , 58.07 , 33.11 , 8.41 , 0.41 , 18.77 
專科, 200 , 100.00 , 20.02 , 45.82 , 33.04 , 1.12 , 20.59 
大學," 2,599 ", 100.00 , 3.40 , 6.09 , 87.48 , 3.04 , 22.68 
碩士及以上, 380 , 100.00 , 0.33 , -   , 61.48 , 38.19 , 25.17 
專科以上科系,,,,,,,
人文, 669 , 100.00 , 5.33 , 7.32 , 84.25 , 3.09 , 22.46 
社會," 1,329 ", 100.00 , 4.14 , 9.06 , 81.61 , 5.19 , 22.63 
科技," 1,240 ", 100.00 , 3.58 , 8.50 , 76.47 , 11.45 , 23.22 
說明：專科以上科系可複選。,,,,,,,
