"表031、青年勞工初次就業的年齡─按性別、年齡、教育程度、
 大專以上科系別分",,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，歲
項    目    別,加  權  後        樣  本  數,合    計,15-18歲,19-21歲,22-25歲,26-29歲,平均年齡
總                                 計," 4,968 ", 100.00 , 34.61 , 23.41 , 39.99 , 1.98 , 20.54 
  性          別,,,,,,,
男    性," 2,427 ", 100.00 , 36.91 , 16.59 , 43.07 , 3.44 , 20.80 
女    性," 2,541 ", 100.00 , 32.42 , 29.93 , 37.06 , 0.59 , 20.29 
  年          齡     ,,,,,,,
15~19歲, 158 , 100.00 , 96.21 , 3.79 , - , - , 16.57 
20~24歲," 1,038 ", 100.00 , 44.23 , 31.35 , 24.41 , - , 19.30 
25~29歲," 3,772 ", 100.00 , 29.38 , 22.05 , 45.96 , 2.61 , 21.05 
  教 育 程 度,,,,,,,
國中及以下, 155 , 100.00 , 84.73 , 6.05 , 8.06 , 1.15 , 17.41 
高中(職)," 1,560 ", 100.00 , 62.85 , 26.30 , 9.96 , 0.89 , 18.44 
專科," 1,352 ", 100.00 , 32.33 , 35.59 , 31.15 , 0.93 , 20.18 
大學," 1,682 ", 100.00 , 10.09 , 14.92 , 73.14 , 1.86 , 22.51 
碩士以上, 219 , 100.00 , 0.40 , 5.18 , 76.64 , 17.78 , 24.84 
     大專以上科系別,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 15.57 , 17.29 , 63.25 , 3.90 , 22.28 
商、管、法、人文," 1,725 ", 100.00 , 20.73 , 26.85 , 50.79 , 1.62 , 21.30 
傳播、藝術, 125 , 100.00 , 15.98 , 20.81 , 62.29 , 0.91 , 21.73 
其他, 77 , 100.00 , 30.70 , 32.48 , 34.25 , 2.57 , 20.58 
,,,,,,,
-39-,,,,,,,
表032、青年勞工初次就業的年齡─按工作地區、行業、規模別分,,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，歲
項    目    別,加  權  後        樣  本  數,合    計,15-18歲,19-21歲,22-25歲,26-29歲,平均年齡
總                                 計," 4,968 ", 100.00 , 34.61 , 23.41 , 39.99 , 1.98 , 20.54 
  地          區,,,,,,,
台北市 , 979 , 100.00 , 25.39 , 21.47 , 50.93 , 2.20 , 21.18 
高雄市  , 362 , 100.00 , 36.11 , 27.00 , 36.12 , 0.77 , 20.24 
北    部," 1,671 ", 100.00 , 33.79 , 22.56 , 41.22 , 2.43 , 20.65 
中    部," 1,094 ", 100.00 , 41.54 , 23.69 , 32.96 , 1.81 , 20.05 
南    部, 748 , 100.00 , 36.78 , 26.50 , 34.90 , 1.82 , 20.37 
東    部, 114 , 100.00 , 40.44 , 18.24 , 41.27 , 0.05 , 20.37 
  行          業,,,,,,,
農林漁牧業, 4 , 100.00 , 38.14 , 17.75 , 39.93 , 4.18 , 20.70 
礦業及土石採取業, 2 , 100.00 , 27.10 , 21.03 , 40.85 , 11.02 , 21.15 
製造業," 1,753 ", 100.00 , 36.12 , 22.80 , 38.88 , 2.20 , 20.46 
水電燃氣業 , 5 , 100.00 , 19.57 , 17.49 , 59.55 , 3.39 , 21.90 
營造業, 168 , 100.00 , 22.51 , 26.78 , 50.04 , 0.67 , 21.30 
批發及零售業," 1,413 ", 100.00 , 39.85 , 24.56 , 34.09 , 1.50 , 20.11 
住宿及餐飲業, 247 , 100.00 , 55.02 , 27.96 , 16.12 , 0.90 , 18.89 
運輸、倉儲及通信業, 159 , 100.00 , 30.96 , 21.80 , 43.73 , 3.51 , 21.06 
金融及保險業, 248 , 100.00 , 18.85 , 20.40 , 59.33 , 1.42 , 21.71 
不動產及租賃業, 58 , 100.00 , 34.82 , 22.12 , 41.87 , 1.19 , 20.41 
專業科學及技術服務業, 300 , 100.00 , 17.15 , 20.10 , 59.24 , 3.51 , 22.00 
教育服務業, 60 , 100.00 , 14.27 , 12.60 , 68.22 , 4.91 , 22.74 
醫療保健及社會福利服務業, 180 , 100.00 , 17.49 , 30.37 , 49.05 , 3.09 , 21.50 
文化運動及休閒服務業, 106 , 100.00 , 28.65 , 21.68 , 48.48 , 1.19 , 20.90 
其他服務業, 223 , 100.00 , 42.18 , 20.47 , 35.58 , 1.78 , 20.08 
公共行政業, 43 , 100.00 , 34.42 , 26.50 , 37.31 , 1.76 , 20.36 
  規          模,,,,,,,
9人以下, 740 , 100.00 , 38.89 , 27.17 , 32.21 , 1.72 , 20.04 
10人～19人, 632 , 100.00 , 42.41 , 24.04 , 32.31 , 1.23 , 19.98 
20人～49人, 671 , 100.00 , 39.16 , 22.97 , 35.99 , 1.88 , 20.23 
50人～199人, 897 , 100.00 , 33.74 , 23.45 , 40.86 , 1.96 , 20.55 
200人～499人, 641 , 100.00 , 31.03 , 21.91 , 45.11 , 1.95 , 20.95 
500人以上," 1,387 ", 100.00 , 28.80 , 22.01 , 46.65 , 2.54 , 21.03 
,,,,,,,
-40-,,,,,,,
表033、青年勞工初次就業的年齡─按工作年資、每月收入、職業別分,,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，歲
項    目    別,加  權  後        樣  本  數,合    計,15-18歲,19-21歲,22-25歲,26-29歲,平均年齡
總                                 計," 4,968 ", 100.00 , 34.61 , 23.41 , 39.99 , 1.98 , 20.54 
  工 作 年 資,,,,,,,
3年以下," 2,769 ", 100.00 , 31.00 , 20.58 , 45.62 , 2.81 , 20.96 
3～5年," 1,523 ", 100.00 , 34.25 , 24.47 , 39.92 , 1.36 , 20.49 
6～10年, 620 , 100.00 , 47.62 , 34.29 , 18.09 , - , 19.07 
10年以上, 56 , 100.00 , 79.04 , 14.41 , 6.55 , - , 17.56 
  每 月 收 入    ,,,,,,,
"未滿15,840元", 222 , 100.00 , 53.06 , 31.96 , 14.98 , - , 18.79 
"15,840元 ~未滿2萬元", 356 , 100.00 , 59.39 , 25.38 , 14.83 , 0.41 , 18.72 
2萬~未滿2萬5千元, 923 , 100.00 , 46.31 , 28.98 , 24.22 , 0.49 , 19.43 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 31.18 , 26.89 , 40.21 , 1.71 , 20.54 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 32.80 , 21.95 , 43.79 , 1.46 , 20.73 
3萬5千~未滿4萬元, 538 , 100.00 , 23.73 , 16.92 , 55.66 , 3.68 , 21.68 
4萬~未滿4萬5千元, 378 , 100.00 , 18.17 , 13.57 , 63.15 , 5.11 , 22.36 
4萬5千~未滿5萬元, 147 , 100.00 , 16.70 , 11.45 , 68.33 , 3.52 , 22.30 
5萬元以上, 181 , 100.00 , 17.14 , 17.22 , 58.56 , 7.09 , 22.26 
  職          業    ,,,,,,,
企業主管及經理人員, 75 , 100.00 , 25.71 , 24.21 , 47.90 , 2.17 , 21.31 
專業人員, 863 , 100.00 , 10.57 , 16.55 , 68.54 , 4.34 , 22.73 
