表33、青年勞工初次就業年齡─按性別、年齡、教育程度別分,,,,,,,
,,,中華民國,97年10月,,,單位：人，%，歲
項    目    別,樣 本 數,合    計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
,,,,,,,
總                                 計," 4,012 ", 100.00 , 28.62 , 20.91 , 44.72 , 5.74 , 21.00 
  性別,,,,,,,
  男性," 1,995 ", 100.00 , 31.74 , 17.81 , 41.02 , 9.42 , 21.19 
  女性," 2,017 ", 100.00 , 25.54 , 23.97 , 48.38 , 2.10 , 20.81 
  年齡別    ,,,,,,,
  15~19歲, 322 , 100.00 , 92.07 , 7.93 , - , - , 16.88 
  20~24歲," 1,267 ", 100.00 , 36.26 , 25.65 , 38.09 , - , 19.98 
  25~29歲," 2,423 ", 100.00 , 16.21 , 20.15 , 54.12 , 9.51 , 22.07 
  教育程度別,,,,,,,
  國中及以下, 244 , 100.00 , 84.28 , 9.58 , 5.16 , 0.98 , 17.09 
  高中(職)," 1,276 ", 100.00 , 55.17 , 31.99 , 11.99 , 0.85 , 18.81 
  專科, 643 , 100.00 , 23.61 , 39.66 , 35.25 , 1.48 , 20.62 
  大學," 1,627 ", 100.00 , 4.82 , 9.28 , 79.45 , 6.46 , 22.90 
  碩士及以上, 222 , 100.00 , 3.99 , 0.59 , 49.17 , 46.25 , 24.99 
 專科以上科系別,,,,,,,
  理、工、醫、農, 903 , 100.00 , 9.55 , 14.01 , 64.22 , 12.21 , 22.90 
  商、管、教育、法、文," 1,377 ", 100.00 , 10.63 , 17.87 , 65.17 , 6.33 , 22.19 
  傳播、藝術, 118 , 100.00 , 10.23 , 11.26 , 70.07 , 8.44 , 22.40 
  其他, 158 , 100.00 , 11.24 , 21.54 , 60.02 , 7.21 , 22.06 
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,
,,,,,,,
表38、青年勞工初次就業年齡─按工作地區、行業、規模別分,,,,,,,
,,,中華民國,97年10月,,,單位：人，%，歲
項    目    別,樣 本 數,合    計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
,,,,,,,
總                                 計," 4,012 ", 100.00 , 28.62 , 20.91 , 44.72 , 5.74 , 21.00 
  工作地區別,,,,,,,
  台北市 ," 1,182 ", 100.00 , 22.99 , 18.52 , 51.64 , 6.84 , 21.46 
