表31、青年勞工初次就業年齡─按性別、年齡、教育程度別分,,,,,,,
,,中華民國,99年10月,,,,單位：人，%，歲
項    目    別,樣 本 數,合    計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
,,,,,,,
總                                 計," 4,014 ", 100.00 , 25.81 , 20.72 , 46.84 , 6.63 , 21.19 
  性別,,,,,,,
男性," 1,859 ", 100.00 , 27.42 , 17.79 , 43.64 , 11.15 , 21.47 
女性," 2,155 ", 100.00 , 24.20 , 23.65 , 50.05 , 2.10 , 20.91 
  年齡別    ,,,,,,,
15~19歲, 139 , 100.00 , 97.04 , 2.96 , - , - , 16.67 
20~24歲, 955 , 100.00 , 32.29 , 33.30 , 34.41 , - , 19.98 
25~29歲," 2,920 ", 100.00 , 15.07 , 17.51 , 57.29 , 10.12 , 22.20 
  教育程度別,,,,,,,
國中及以下, 203 , 100.00 , 82.32 , 11.29 , 5.46 , 0.93 , 17.13 
高中(職)," 1,088 ", 100.00 , 52.66 , 33.70 , 12.86 , 0.78 , 18.91 
專科, 440 , 100.00 , 21.26 , 42.67 , 32.46 , 3.62 , 20.63 
大學," 2,017 ", 100.00 , 5.99 , 11.60 , 76.24 , 6.17 , 22.70 
碩士及以上, 266 , 100.00 , 0.30 , 1.45 , 55.58 , 42.67 , 25.24 
專科以上科系別,,,,,,,
人文, 447 , 100.00 , 6.81 , 17.12 , 67.76 , 8.31 , 22.48 
社會," 1,189 ", 100.00 , 10.55 , 18.05 , 64.68 , 6.72 , 22.20 
科技," 1,159 ", 100.00 , 5.65 , 13.12 , 67.28 , 13.95 , 23.14 
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,
