"表07 青年勞工初次
",,,,,,,,"就業時的起薪
",,,,,
,,,,,, 中華民國 ,, 101年10月 ,,,, 單位：人，％，元 ,
項目別,樣本數,合計,"未滿18,780元","18,780~未滿
2萬元","2萬~未滿
2萬5千元","2萬5千~
未滿3萬元",,"3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元","5萬元
及以上",平均每月薪資
,,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 14.75 , 15.67 , 27.42 , 20.15 ,, 11.07 , 4.68 , 3.66 , 1.01 , 1.59 ," 23,984 "
性別,,,,,,,,,,,,,
男," 1,679 ", 100.00 , 15.81 , 15.35 , 25.61 , 16.86 ,, 12.46 , 4.97 , 5.34 , 1.41 , 2.20 ," 24,567 "
女," 2,385 ", 100.00 , 13.78 , 15.96 , 29.11 , 23.20 ,, 9.77 , 4.41 , 2.10 , 0.65 , 1.02 ," 23,444 "
年齡,,,,,,,,,,,,,
15-19歲, 136 , 100.00 , 46.52 , 25.62 , 19.10 , 5.46 ,, 2.18 , 1.12 , - , - , - ," 16,120 "
20-24歲, 962 , 100.00 , 19.00 , 17.20 , 30.56 , 20.10 ,, 8.39 , 2.42 , 1.09 , 0.56 , 0.68 ," 21,727 "
25-29歲," 2,966 ", 100.00 , 7.34 , 13.23 , 27.08 , 22.55 ,, 13.94 , 6.47 , 5.64 , 1.42 , 2.34 ," 26,471 "
教育程度,,,,,,,,,,,,,
國中及以下, 137 , 100.00 , 27.25 , 36.25 , 23.31 , 8.11 ,, 3.19 , 1.15 , 0.69 , 0.06 , - ," 18,553 "
高中（職）," 1,020 ", 100.00 , 26.60 , 25.32 , 28.10 , 11.42 ,, 5.89 , 1.29 , 0.87 , 0.16 , 0.37 ," 19,684 "
專科, 285 , 100.00 , 14.91 , 19.24 , 30.88 , 17.46 ,, 8.94 , 3.82 , 3.87 , 0.05 , 0.83 ," 23,109 "
大學," 2,313 ", 100.00 , 8.29 , 9.69 , 30.32 , 28.01 ,, 14.24 , 4.89 , 2.64 , 0.74 , 1.20 ," 25,227 "
碩士及以上, 309 , 100.00 , 2.42 , 0.39 , 5.31 , 12.84 ,, 17.57 , 19.78 , 23.30 , 7.63 , 10.75 ," 37,098 "
專科以上科系,,,,,,,,,,,,,
