表19 青年勞工,,,,,,,初次就業時的起薪,,,,,
,,,,, 中華民國 ,, 105年10月 ,,,, 單位：人，％，元 ,
項目別,樣本數,合計,"未滿
2萬元","2萬元~
未滿2萬5千元","2萬5千元~
未滿3萬元",,"3萬元~
未滿3萬5千元","3萬5千元~
未滿4萬元","4萬元~
未滿4萬5千元","4萬5千元~
未滿5萬元","5萬元
及以上",平均每月薪資
,,,,,,,,,,,,
總計," 4,047 ", 100.00 , 18.06 , 30.86 , 24.76 ,, 13.06 , 6.26 , 3.56 , 1.71 , 1.74 ," 25,540 "
性別,,,,,,,,,,,,
男," 1,641 ", 100.00 , 17.90 , 27.75 , 23.15 ,, 14.02 , 6.99 , 4.96 , 2.69 , 2.54 ," 26,555 "
女," 2,406 ", 100.00 , 18.20 , 33.75 , 26.26 ,, 12.16 , 5.57 , 2.26 , 0.81 , 0.99 ," 24,600 "
年齡,,,,,,,,,,,,
15~19歲, 129 , 100.00 , 52.35 , 31.46 , 12.07 ,, 3.54 , -   , -   , -   , 0.58 ," 17,690 "
20~24歲," 1,061 ", 100.00 , 24.01 , 35.25 , 22.84 ,, 11.29 , 4.26 , 1.47 , 0.28 , 0.59 ," 23,119 "
25~29歲," 2,857 ", 100.00 , 10.72 , 28.41 , 27.33 ,, 15.16 , 8.09 , 5.12 , 2.69 , 2.50 ," 27,798 "
教育程度,,,,,,,,,,,,
國中及以下, 72 , 100.00 , 44.89 , 34.13 , 8.95 ,, 8.04 , 0.09 , 2.57 , -   , 1.33 ," 19,520 "
高中（職）, 796 , 100.00 , 36.36 , 37.30 , 17.41 ,, 6.11 , 2.19 , 0.57 , 0.01 , 0.06 ," 20,369 "
專科, 200 , 100.00 , 32.54 , 32.04 , 16.64 ,, 8.90 , 5.49 , 3.47 , 0.37 , 0.55 ," 22,811 "
大學," 2,599 ", 100.00 , 10.28 , 31.54 , 30.99 ,, 16.28 , 6.01 , 2.54 , 1.19 , 1.17 ," 26,404 "
碩士及以上, 380 , 100.00 , 1.70 , 7.56 , 14.37 ,, 14.92 , 21.30 , 18.49 , 10.96 , 10.69 ," 37,435 "
專科以上科系,,,,,,,,,,,,
人文, 669 , 100.00 , 13.44 , 34.75 , 32.11 ,, 13.52 , 2.79 , 2.74 , 0.36 , 0.28 ," 24,928 "
社會," 1,329 ", 100.00 , 11.30 , 33.26 , 29.52 ,, 15.89 , 6.32 , 1.88 , 0.63 , 1.20 ," 25,907 "
科技," 1,240 ", 100.00 , 9.11 , 21.19 , 24.64 ,, 15.84 , 11.75 , 8.21 , 4.95 , 4.32 ," 30,247 "
說明1：本問項可複選。,,,,,,,,,,,,
