表034、青年勞工初次就業時平均每月薪資    ,,,,,,,, ─按性別、年齡、教育程度、大專以上科系別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840 元 ~          未滿2萬元",2萬元 ~                未滿2.5萬元,2.5萬元 ~         未滿3萬元,,3萬元 ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬元",4萬元 ~                        未滿4.5萬元,4.5萬元 ~                  未滿5萬元,5萬元以上,平均薪資
總                                 計," 4,968 ", 100.00 , 16.06 , 25.93 , 24.41 , 18.42 ,, 8.10 , 3.77 , 2.30 , 0.50 , 0.50 ," 21,920 "
  性          別,,,,,,,,,,,,,
男    性," 2,427 ", 100.00 , 17.33 , 20.44 , 22.05 , 20.79 ,, 9.89 , 4.62 , 3.51 , 0.76 , 0.62 ," 22,701 "
女    性," 2,541 ", 100.00 , 14.86 , 31.18 , 26.66 , 16.15 ,, 6.40 , 2.95 , 1.15 , 0.25 , 0.40 ," 21,174 "
  年          齡     ,,,,,,,,,,,,,
15~19歲, 158 , 100.00 , 43.78 , 43.64 , 7.96 , 3.10 ,, - , 0.79 , 0.74 , - , - ," 14,574 "
20~24歲," 1,038 ", 100.00 , 22.88 , 30.46 , 25.90 , 12.23 ,, 5.02 , 2.52 , 0.79 , 0.11 , 0.10 ," 19,476 "
25~29歲," 3,772 ", 100.00 , 13.03 , 23.94 , 24.69 , 20.77 ,, 9.29 , 4.24 , 2.78 , 0.62 , 0.64 ," 22,901 "
  教 育 程 度,,,,,,,,,,,,,
國中及以下, 155 , 100.00 , 33.60 , 35.20 , 19.22 , 9.00 ,, 0.53 , 0.81 , 0.76 , - , 0.88 ," 17,290 "
高中(職)," 1,560 ", 100.00 , 26.36 , 38.37 , 20.65 , 9.64 ,, 2.91 , 1.28 , 0.59 , - , 0.18 ," 18,421 "
專科," 1,352 ", 100.00 , 15.37 , 30.00 , 31.61 , 16.44 ,, 4.59 , 1.14 , 0.60 , 0.19 , 0.06 ," 20,349 "
大學," 1,682 ", 100.00 , 7.19 , 13.31 , 25.28 , 29.88 ,, 15.70 , 5.97 , 1.71 , 0.22 , 0.75 ," 25,018 "
碩士以上, 219 , 100.00 , 2.72 , 2.58 , 3.70 , 11.82 ,, 13.81 , 22.91 , 30.61 , 8.38 , 3.46 ," 36,028 "
     大專以上科系別,,,,,,,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 8.38 , 13.89 , 22.47 , 25.30 ,, 14.55 , 7.25 , 5.67 , 1.32 , 1.18 ," 26,023 "
商、管、法、人文," 1,725 ", 100.00 , 11.96 , 23.38 , 29.35 , 21.39 ,, 8.05 , 3.72 , 1.48 , 0.42 , 0.26 ," 22,233 "
傳播、藝術, 125 , 100.00 , 7.46 , 17.41 , 28.34 , 28.34 ,, 12.15 , 3.54 , 2.08 , - , 0.69 ," 23,962 "
其他, 77 , 100.00 , 10.42 , 33.59 , 27.28 , 13.96 ,, 12.32 , 1.52 , 0.92 , - , - ," 21,182 "
,,,,,,,,,,,,,
-42-,,,,,,,,-43-,,,,,
表035、青年勞工初次就業時平均每月薪資 ,,,,,,,,─按工作地區、行業、規模別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840 元 ~          未滿2萬元",2萬元 ~                未滿2.5萬元,2.5萬元 ~         未滿3萬元,,3萬元 ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬元",4萬元 ~                        未滿4.5萬元,4.5萬元 ~                  未滿5萬元,5萬元以上,平均薪資
總                                 計," 4,968 ", 100.00 , 16.06 , 25.93 , 24.41 , 18.42 ,, 8.10 , 3.77 , 2.30 , 0.50 , 0.50 ," 21,920 "
  工   作  地    區,,,,,,,,,,,,,
台北市 , 979 , 100.00 , 10.83 , 17.14 , 24.39 , 25.00 ,, 12.83 , 5.00 , 2.81 , 1.12 , 0.89 ," 24,219 "
高雄市  , 362 , 100.00 , 20.88 , 32.18 , 23.97 , 12.46 ,, 5.12 , 3.22 , 1.57 , 0.02 , 0.58 ," 20,063 "
北    部," 1,671 ", 100.00 , 12.95 , 20.58 , 26.76 , 19.89 ,, 9.80 , 5.63 , 3.31 , 0.49 , 0.59 ," 23,200 "
中    部," 1,094 ", 100.00 , 20.97 , 32.89 , 22.74 , 16.87 ,, 3.71 , 1.56 , 1.12 , 0.08 , 0.07 ," 19,917 "
南    部, 748 , 100.00 , 20.10 , 34.87 , 21.88 , 11.99 ,, 6.87 , 2.06 , 1.41 , 0.46 , 0.37 ," 20,148 "
東    部, 114 , 100.00 , 17.79 , 34.65 , 24.23 , 16.33 ,, 2.39 , - , 2.69 , 1.10 , 0.81 ," 20,158 "
  行          業,,,,,,,,,,,,,
農林漁牧業, 4 , 100.00 , 12.74 , 44.02 , 26.76 , 9.27 ,, 4.65 , 2.56 , - , - , - ," 19,657 "
礦業及土石採取業, 2 , 100.00 , 29.68 , 27.81 , 8.10 , 12.84 ,, 16.53 , 5.04 , - , - , - ," 20,624 "
製造業," 1,753 ", 100.00 , 13.89 , 28.05 , 25.24 , 17.22 ,, 7.60 , 4.03 , 3.40 , 0.21 , 0.38 ," 22,185 "
水電燃氣業 , 5 , 100.00 , 9.50 , 19.39 , 21.42 , 23.63 ,, 16.14 , 4.51 , 2.26 , 1.13 , 2.02 ," 24,831 "
營造業, 168 , 100.00 , 13.81 , 23.02 , 27.40 , 16.76 ,, 12.76 , 4.38 , 1.87 , - , - ," 22,416 "
批發及零售業," 1,413 ", 100.00 , 19.01 , 28.88 , 24.13 , 18.07 ,, 5.96 , 2.20 , 1.04 , 0.37 , 0.34 ," 20,551 "
住宿及餐飲業, 247 , 100.00 , 29.21 , 29.13 , 26.09 , 13.42 ,, 0.66 , 0.90 , 0.59 , - , - ," 18,170 "
運輸、倉儲及通信業, 159 , 100.00 , 14.51 , 23.61 , 25.09 , 20.16 ,, 12.14 , 2.13 , 0.72 , 1.19 , 0.47 ," 22,199 "
金融及保險業, 248 , 100.00 , 10.54 , 16.05 , 23.87 , 22.66 ,, 14.82 , 7.47 , 3.33 , 1.04 , 0.22 ," 24,595 "
不動產及租賃業, 58 , 100.00 , 18.60 , 22.05 , 36.89 , 16.81 ,, 3.83 , - , 1.82 , - , - ," 20,241 "
專業科學及技術服務業, 300 , 100.00 , 9.05 , 16.02 , 20.83 , 24.82 ,, 15.38 , 6.46 , 3.65 , 2.49 , 1.30 ," 25,586 "
教育服務業, 60 , 100.00 , 12.72 , 10.51 , 13.31 , 26.15 ,, 17.84 , 10.48 , 7.53 , 1.46 , - ," 26,480 "
醫療保健及社會福利服務業, 180 , 100.00 , 9.20 , 16.02 , 16.53 , 20.77 ,, 16.05 , 12.58 , 3.18 , 1.60 , 4.07 ," 27,339 "
文化運動及休閒服務業, 106 , 100.00 , 20.75 , 23.33 , 22.43 , 23.98 ,, 7.54 , 1.96 , - , - , - ," 20,359 "
其他服務業, 223 , 100.00 , 21.00 , 27.67 , 29.98 , 16.62 ,, 2.27 , 0.40 , 1.60 , - , 0.45 ," 20,059 "
公共行政業, 43 , 100.00 , 21.23 , 35.30 , 12.49 , 15.91 ,, 9.13 , 5.36 , 0.58 , - , - ," 20,312 "
  規          模,,,,,,,,,,,,,
9人以下, 740 , 100.00 , 20.50 , 30.64 , 27.61 , 13.52 ,, 4.24 , 1.98 , 1.03 , 0.36 , 0.12 ," 19,792 "
10人～19人, 632 , 100.00 , 20.21 , 34.73 , 20.92 , 17.05 ,, 4.81 , 1.32 , 0.45 , - , 0.51 ," 19,789 "
20人～49人, 671 , 100.00 , 17.49 , 28.29 , 25.73 , 17.80 ,, 7.00 , 1.66 , 1.08 , 0.81 , 0.11 ," 20,979 "
50人～199人, 897 , 100.00 , 14.57 , 24.42 , 28.08 , 20.67 ,, 6.47 , 3.46 , 1.55 , 0.49 , 0.30 ," 21,814 "
200人～499人, 641 , 100.00 , 13.63 , 21.79 , 23.08 , 24.78 ,, 8.60 , 4.08 , 2.88 , 0.42 , 0.74 ," 22,847 "
500人以上," 1,387 ", 100.00 , 13.21 , 21.16 , 21.89 , 17.56 ,, 13.03 , 6.91 , 4.64 , 0.68 , 0.92 ," 24,123 "
,,,,,,,,,,,,,
-44-,,,,,,,,-45-,,,,,
表036、青年勞工初次就業時平均每月薪資 ,,,,,,,,─按工作年資、每月收入、職業別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840 元 ~          未滿2萬元",2萬元 ~                未滿2.5萬元,2.5萬元 ~         未滿3萬元,,3萬元 ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬元",4萬元 ~                        未滿4.5萬元,4.5萬元 ~                  未滿5萬元,5萬元以上,平均薪資
總                                 計," 4,968 ", 100.00 , 16.06 , 25.93 , 24.41 , 18.42 ,, 8.10 , 3.77 , 2.30 , 0.50 , 0.50 ," 21,920 "
  工 作 年 資,,,,,,,,,,,,,
3年以下," 2,769 ", 100.00 , 15.58 , 23.33 , 24.35 , 19.54 ,, 9.03 , 4.35 , 2.70 , 0.51 , 0.60 ," 22,441 "
