表39、曾轉換工作之青年勞工初次就業時的起薪,,,,,,,─按性別、年齡、教育程度別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
項    目    別,樣 本 數,合    計,"未滿17,280元","17,280~
未滿2萬元","2萬~未滿
2萬5千元",,"2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元",5萬元及以上,"平均
每月薪資"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總                                 計," 2,515 ", 100.00 , 17.19 , 10.91 , 23.30 ,, 21.48 , 13.72 , 5.92 , 3.71 , 1.98 , 1.79 ," 24,984 "
  性別,,,,,,,,,,,,,
  男性," 1,176 ", 100.00 , 16.68 , 10.06 , 18.42 ,, 20.41 , 16.22 , 7.31 , 5.15 , 2.83 , 2.92 ," 26,510 "
  女性," 1,339 ", 100.00 , 17.70 , 11.75 , 28.12 ,, 22.55 , 11.25 , 4.55 , 2.28 , 1.13 , 0.67 ," 23,475 "
  年齡別    ,,,,,,,,,,,,,
  15~19歲, 156 , 100.00 , 52.93 , 23.04 , 19.47 ,, 3.87 , 0.69 , - , - , - , - ," 15,487 "
  20~24歲, 689 , 100.00 , 25.06 , 10.75 , 26.49 ,, 21.16 , 10.79 , 3.10 , 1.48 , 0.34 , 0.83 ," 22,581 "
  25~29歲," 1,670 ", 100.00 , 8.34 , 9.38 , 22.14 ,, 23.99 , 16.98 , 8.19 , 5.36 , 3.09 , 2.53 ," 27,502 "
  教育程度別,,,,,,,,,,,,,
  國中及以下, 149 , 100.00 , 40.29 , 18.37 , 21.77 ,, 11.79 , 5.08 , 0.64 , 0.56 , 0.54 , 0.96 ," 18,533 "
  高中(職), 916 , 100.00 , 30.38 , 16.12 , 26.78 ,, 14.31 , 6.57 , 3.28 , 0.81 , 0.87 , 0.89 ," 20,839 "
  專科, 470 , 100.00 , 13.51 , 12.01 , 30.89 ,, 23.60 , 11.98 , 4.45 , 1.65 , 1.32 , 0.59 ," 23,822 "
  大學, 907 , 100.00 , 7.18 , 6.59 , 20.66 ,, 29.35 , 20.70 , 7.83 , 4.05 , 1.77 , 1.87 ," 27,722 "
  碩士及以上, 73 , 100.00 , 0.19 , 1.23 , 2.25 ,, 9.54 , 18.24 , 17.23 , 27.31 , 13.27 , 10.75 ," 39,181 "
 專科以上科系別,,,,,,,,,,,,,
  理、工、醫、農, 480 , 100.00 , 8.71 , 4.33 , 15.21 ,, 21.05 , 20.91 , 10.84 , 9.14 , 5.14 , 4.67 ," 30,875 "
  商、管、教育、法、文, 834 , 100.00 , 7.59 , 9.61 , 26.37 ,, 28.15 , 16.33 , 6.35 , 3.50 , 0.91 , 1.19 ," 26,011 "
  傳播、藝術, 66 , 100.00 , 12.00 , 8.05 , 17.16 ,, 31.20 , 19.62 , 6.19 , 1.78 , 2.67 , 1.32 ," 26,094 "
