表4 青年勞工加班情形,,,,,,,,,
,,, 中華民國103年10月 ,,,,,, 單位：人，％，天，小時 
項目別,樣本數,合計,"沒有
加班",有加班,,,,,"平均每週
加班時數"
,,,,計,"有加
班費","沒有
加班費","平均每週
加班時數","平均每週
領取加班費
時數",
總計," 4,034 ", 100.00 , 57.08 , 42.92 , 27.35 , 15.56 , 5.42 , 3.54 , 2.33 
性別,,,,,,,,,
男," 1,688 ", 100.00 , 55.47 , 44.53 , 31.06 , 13.47 , 6.11 , 4.37 , 2.72 
女," 2,346 ", 100.00 , 58.58 , 41.42 , 23.91 , 17.51 , 4.74 , 2.71 , 1.96 
年齡,,,,,,,,,
15~19歲, 121 , 100.00 , 73.16 , 26.84 , 22.35 , 4.49 , 5.71 , 4.94 , 1.53 
20~24歲," 1,007 ", 100.00 , 60.11 , 39.89 , 25.89 , 14.00 , 4.91 , 3.15 , 1.96 
25~29歲," 2,906 ", 100.00 , 53.52 , 46.48 , 28.73 , 17.75 , 5.64 , 3.61 , 2.62 
教育程度,,,,,,,,,
國中及以下, 129 , 100.00 , 71.40 , 28.60 , 25.53 , 3.07 , 5.96 , 4.92 , 1.70 
高中（職）, 941 , 100.00 , 65.67 , 34.33 , 28.24 , 6.09 , 6.29 , 5.27 , 2.16 
專科, 203 , 100.00 , 57.28 , 42.72 , 29.55 , 13.17 , 5.39 , 3.84 , 2.30 
大學," 2,448 ", 100.00 , 54.33 , 45.67 , 26.55 , 19.11 , 5.02 , 2.96 , 2.29 
碩士及以上, 313 , 100.00 , 37.59 , 62.41 , 29.54 , 32.87 , 5.69 , 2.64 , 3.55 
專科以上科系,,,,,,,,,
人文, 502 , 100.00 , 56.97 , 43.03 , 21.92 , 21.11 , 4.59 , 2.37 , 1.97 
社會," 1,276 ", 100.00 , 54.66 , 45.34 , 23.58 , 21.76 , 4.38 , 2.16 , 1.98 
科技," 1,216 ", 100.00 , 49.19 , 50.81 , 32.15 , 18.66 , 5.95 , 3.82 , 3.02 
行業,,,,,,,,,
農、林、漁、牧業, 68 , 100.00 , 72.81 , 27.19 , 18.75 , 8.44 , 4.68 , 3.20 , 1.27 
工業," 1,253 ", 100.00 , 51.96 , 48.04 , 38.33 , 9.71 , 7.03 , 5.77 , 3.37 
礦業及土石採取業, 46 , 100.00 , 74.58 , 25.42 , 21.36 , 4.07 , 4.52 , 4.20 , 1.15 
製造業, 903 , 100.00 , 50.13 , 49.87 , 40.59 , 9.28 , 7.21 , 6.08 , 3.60 
電力及燃氣供應業, 96 , 100.00 , 62.73 , 37.27 , 21.89 , 15.38 , 4.38 , 2.68 , 1.63 
用水供應及污染整治業, 78 , 100.00 , 70.41 , 29.59 , 22.50 , 7.09 , 4.88 , 4.06 , 1.44 
營造業," 2,713 ", 100.00 , 59.34 , 40.66 , 22.48 , 18.19 , 4.58 , 2.37 , 1.75 
服務業, 130 , 100.00 , 65.23 , 34.77 , 21.29 , 13.48 , 5.03 , 2.20 , 1.86 
批發及零售業, 812 , 100.00 , 63.20 , 36.80 , 22.12 , 14.69 , 4.62 , 2.71 , 1.70 
運輸及倉儲業, 125 , 100.00 , 51.95 , 48.05 , 34.84 , 13.20 , 4.62 , 3.36 , 2.22 
住宿及餐飲業, 220 , 100.00 , 61.22 , 38.78 , 24.51 , 14.27 , 4.28 , 2.58 , 1.66 
資訊及通訊傳播業, 163 , 100.00 , 53.79 , 46.21 , 20.18 , 26.02 , 3.86 , 1.33 , 1.78 
金融及保險業, 200 , 100.00 , 60.65 , 39.35 , 21.76 , 17.59 , 4.40 , 1.52 , 1.73 
不動產業, 87 , 100.00 , 58.74 , 41.26 , 16.23 , 25.03 , 4.64 , 1.95 , 1.91 
專業、科學及技術服務業, 242 , 100.00 , 38.34 , 61.66 , 33.63 , 28.03 , 5.84 , 2.75 , 3.60 
支援服務業, 117 , 100.00 , 65.91 , 34.09 , 25.05 , 9.04 , 3.93 , 3.02 , 1.34 
公共行政及國防;強制性社會安全, 140 , 100.00 , 52.62 , 47.38 , 26.85 , 20.53 , 4.76 , 2.88 , 2.26 
教育服務業, 173 , 100.00 , 57.69 , 42.31 , 8.77 , 33.55 , 4.42 , 0.85 , 1.87 
醫療保健及社會工作服務業, 230 , 100.00 , 56.13 , 43.87 , 19.05 , 24.82 , 4.69 , 1.76 , 2.06 
藝術、娛樂及休閒服務業, 59 , 100.00 , 68.57 , 31.43 , 14.89 , 16.54 , 2.50 , 0.81 , 0.79 
其他服務業, 145 , 100.00 , 67.03 , 32.97 , 13.18 , 19.79 , 3.97 , 1.60 , 1.31 
職業,,,,,,,,,
民意代表、主管及經理人員, 33 , 100.00 , 51.36 , 48.64 , 26.02 , 22.62 , 6.26 , 3.67 , 3.04 
專業人員, 636 , 100.00 , 43.12 , 56.88 , 28.26 , 28.61 , 5.81 , 2.83 , 3.30 
技術員及助理專業人員, 973 , 100.00 , 53.24 , 46.76 , 28.23 , 18.53 , 6.02 , 3.89 , 2.81 
事務支援人員," 1,144 ", 100.00 , 62.16 , 37.84 , 22.29 , 15.55 , 3.94 , 2.46 , 1.49 
服務及銷售工作人員, 653 , 100.00 , 66.42 , 33.58 , 23.88 , 9.70 , 4.08 , 2.72 , 1.37 
農林漁牧業生產人員, 34 , 100.00 , 91.51 , 8.49 , 7.16 , 1.32 , 4.22 , 2.66 , 0.36 
技藝有關工作人員, 172 , 100.00 , 50.06 , 49.94 , 41.18 , 8.76 , 7.83 , 5.89 , 3.91 
