表016、青年勞工加班情形─按性別、年齡、教育程度、大專以上科系別分,,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，小時
項    目    別,加  權  後            樣  本  數,合    計,沒有加班,有加班,,,
,,,,計,有加班費,沒有            加班費,平均每月            加班時數
總                                 計," 4,968 ", 100.00 , 28.91 , 71.09 , 44.41 , 26.69 , 13.85 
  性          別,,,,,,,
男    性," 2,427 ", 100.00 , 24.11 , 75.89 , 52.09 , 23.80 , 17.46 
女    性," 2,541 ", 100.00 , 33.49 , 66.51 , 37.07 , 29.44 , 10.40 
  年          齡     ,,,,,,,
15~19歲, 158 , 100.00 , 52.09 , 47.91 , 40.60 , 7.31 , 7.38 
20~24歲," 1,038 ", 100.00 , 35.14 , 64.86 , 43.71 , 21.14 , 11.11 
25~29歲," 3,772 ", 100.00 , 26.22 , 73.78 , 44.76 , 29.02 , 14.88 
  教 育 程 度,,,,,,,
國中及以下, 155 , 100.00 , 32.73 , 67.27 , 60.42 , 6.85 , 12.94 
高中(職)," 1,560 ", 100.00 , 32.40 , 67.60 , 55.09 , 12.51 , 15.66 
專科," 1,352 ", 100.00 , 30.98 , 69.02 , 45.02 , 24.00 , 12.57 
大學," 1,682 ", 100.00 , 25.32 , 74.68 , 35.66 , 39.02 , 12.43 
碩士以上, 219 , 100.00 , 15.98 , 84.02 , 20.40 , 63.62 , 20.37 
     大專以上科系別,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 22.44 , 77.56 , 46.11 , 31.45 , 16.60 
商、管、法、人文," 1,725 ", 100.00 , 31.10 , 68.90 , 33.33 , 35.57 , 10.43 
傳播、藝術, 125 , 100.00 , 20.71 , 79.29 , 30.22 , 49.07 , 13.08 
其他, 77 , 100.00 , 26.02 , 73.98 , 37.73 , 36.25 , 9.48 
說明:至95年7月底加班狀況,,,,,,,
-20-,,,,,,,
表017、青年勞工加班情形─按工作地區、行業、規模別分,,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，小時
項    目    別,加  權  後            樣  本  數,合    計,沒有加班,有加班,,,
,,,,計,有加班費,沒有            加班費,平均每月            加班時數
總                                 計," 4,968 ", 100.00 , 28.91 , 71.09 , 44.41 , 26.69 , 13.85 
  工   作  地    區,,,,,,,
台北市 , 979 , 100.00 , 29.14 , 70.86 , 28.79 , 42.07 , 10.56 
高雄市  , 362 , 100.00 , 32.46 , 67.54 , 42.97 , 24.57 , 14.10 
北    部," 1,671 ", 100.00 , 24.67 , 75.33 , 47.87 , 27.46 , 16.47 
中    部," 1,094 ", 100.00 , 30.72 , 69.28 , 49.99 , 19.29 , 13.74 
南    部, 748 , 100.00 , 31.96 , 68.04 , 51.60 , 16.43 , 13.45 
東    部, 114 , 100.00 , 40.30 , 59.70 , 31.55 , 28.16 , 6.59 
  行          業,,,,,,,
農林漁牧業, 4 , 100.00 , 52.67 , 47.33 , 24.54 , 22.79 , 6.93 
礦業及土石採取業, 2 , 100.00 , 50.96 , 49.04 , 42.13 , 6.91 , 7.31 
製造業," 1,753 ", 100.00 , 19.75 , 80.25 , 60.99 , 19.26 , 19.88 
水電燃氣業 , 5 , 100.00 , 26.21 , 73.79 , 60.72 , 13.07 , 11.75 
營造業, 168 , 100.00 , 27.83 , 72.17 , 46.01 , 26.15 , 11.08 
批發及零售業," 1,413 ", 100.00 , 35.96 , 64.04 , 36.92 , 27.12 , 10.52 
住宿及餐飲業, 247 , 100.00 , 37.42 , 62.58 , 37.10 , 25.48 , 7.24 
運輸、倉儲及通信業, 159 , 100.00 , 35.18 , 64.82 , 38.17 , 26.65 , 11.29 
金融及保險業, 248 , 100.00 , 27.74 , 72.26 , 39.68 , 32.58 , 10.85 
不動產及租賃業, 58 , 100.00 , 38.47 , 61.53 , 29.52 , 32.01 , 7.90 
專業科學及技術服務業, 300 , 100.00 , 25.61 , 74.39 , 31.61 , 42.77 , 11.87 
教育服務業, 60 , 100.00 , 40.14 , 59.86 , 10.99 , 48.87 , 10.15 
醫療保健及社會福利服務業, 180 , 100.00 , 30.61 , 69.39 , 19.85 , 49.54 , 9.25 
文化運動及休閒服務業, 106 , 100.00 , 39.40 , 60.60 , 19.30 , 41.31 , 9.58 
其他服務業, 223 , 100.00 , 34.15 , 65.85 , 39.95 , 25.90 , 14.78 
公共行政業, 43 , 100.00 , 40.48 , 59.52 , 44.56 , 14.95 , 5.92 
  規          模,,,,,,,
9人以下, 740 , 100.00 , 46.02 , 53.98 , 29.75 , 24.23 , 8.03 
10人～19人, 632 , 100.00 , 36.21 , 63.79 , 41.61 , 22.18 , 10.47 
20人～49人, 671 , 100.00 , 27.29 , 72.71 , 45.85 , 26.86 , 11.41 
50人～199人, 897 , 100.00 , 23.64 , 76.36 , 46.20 , 30.16 , 14.76 
200人～499人, 641 , 100.00 , 25.29 , 74.71 , 43.02 , 31.69 , 15.30 
500人以上," 1,387 ", 100.00 , 22.31 , 77.69 , 52.29 , 25.40 , 18.41 
說明:至95年7月底加班狀況,,,,,,,
-21-,,,,,,,
表018、青年勞工加班情形─按工作年資、每月收入、職業別分,,,,,,,
,,,中華民國九十五年七月,,,,單位：人，%，小時
項    目    別,加  權  後            樣  本  數,合    計,沒有加班,有加班,,,
,,,,計,有加班費,沒有            加班費,平均每月            加班時數
總                                 計," 4,968 ", 100.00 , 28.91 , 71.09 , 44.41 , 26.69 , 13.85 
  工 作 年 資,,,,,,,
3年以下," 2,769 ", 100.00 , 29.15 , 70.85 , 43.29 , 27.56 , 13.22 
3～5年," 1,523 ", 100.00 , 28.77 , 71.23 , 44.59 , 26.64 , 14.68 
6～10年, 620 , 100.00 , 27.90 , 72.10 , 48.64 , 23.45 , 14.41 
10年以上, 56 , 100.00 , 31.71 , 68.29 , 47.69 , 20.59 , 16.22 
  每 月 收 入    ,,,,,,,
"未滿15,840元", 222 , 100.00 , 54.99 , 45.01 , 33.71 , 11.31 , 6.64 
"15,840元 ~未滿2萬元", 356 , 100.00 , 56.97 , 43.03 , 35.10 , 7.93 , 5.90 
2萬~未滿2萬5千元, 923 , 100.00 , 35.15 , 64.85 , 45.31 , 19.53 , 9.66 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 27.21 , 72.79 , 46.29 , 26.49 , 12.44 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 24.33 , 75.67 , 46.16 , 29.52 , 15.66 
3萬5千~未滿4萬元, 538 , 100.00 , 18.85 , 81.15 , 49.70 , 31.45 , 17.68 
4萬~未滿4萬5千元, 378 , 100.00 , 15.24 , 84.76 , 43.23 , 41.53 , 21.20 
4萬5千~未滿5萬元, 147 , 100.00 , 14.36 , 85.64 , 43.13 , 42.51 , 23.01 
5萬元以上, 181 , 100.00 , 18.17 , 81.83 , 36.70 , 45.13 , 23.47 
  職          業    ,,,,,,,
企業主管及經理人員, 75 , 100.00 , 24.32 , 75.68 , 38.55 , 37.13 , 14.23 
專業人員, 863 , 100.00 , 17.22 , 82.78 , 32.34 , 50.44 , 18.11 
技術員及助理專業人員," 1,523 ", 100.00 , 20.82 , 79.18 , 52.70 , 26.48 , 17.19 
事務工作人員," 1,107 ", 100.00 , 41.89 , 58.11 , 32.56 , 25.54 , 6.57 
