表19、青年勞工加班情形─按性別、年齡、教育程度別分,,,,,,,,
,,,中華民國,97年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,012 ", 100.00 , 41.72 , 58.28 , 34.15 , 24.13 , 5.78 , 3.44 
  性別,,,,,,,,
  男性," 1,995 ", 100.00 , 38.44 , 61.56 , 40.44 , 21.12 , 6.70 , 4.44 
  女性," 2,017 ", 100.00 , 44.96 , 55.04 , 27.94 , 27.11 , 4.77 , 2.34 
  年齡別    ,,,,,,,,
  15~19歲, 322 , 100.00 , 62.50 , 37.50 , 32.52 , 4.98 , 4.73 , 4.22 
  20~24歲," 1,267 ", 100.00 , 47.62 , 52.38 , 32.67 , 19.71 , 5.27 , 3.26 
  25~29歲," 2,423 ", 100.00 , 35.87 , 64.13 , 35.15 , 28.98 , 6.09 , 3.46 
  教育程度別,,,,,,,,
  國中及以下, 244 , 100.00 , 57.46 , 42.54 , 30.70 , 11.84 , 4.51 , 3.18 
  高中(職)," 1,276 ", 100.00 , 49.07 , 50.93 , 37.65 , 13.28 , 6.31 , 5.03 
  專科, 643 , 100.00 , 43.68 , 56.32 , 33.72 , 22.60 , 5.58 , 3.48 
  大學," 1,627 ", 100.00 , 35.44 , 64.56 , 33.50 , 31.07 , 5.43 , 2.76 
  碩士及以上, 222 , 100.00 , 22.53 , 77.47 , 23.90 , 53.57 , 7.15 , 1.66 
 專科以上科系別,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 33.70 , 66.30 , 38.94 , 27.36 , 6.56 , 3.70 
  商、管、教育、法、文," 1,377 ", 100.00 , 39.42 , 60.58 , 27.50 , 33.08 , 5.12 , 2.10 
  傳播、藝術, 118 , 100.00 , 34.09 , 65.91 , 31.53 , 34.37 , 5.51 , 2.77 
  其他, 158 , 100.00 , 32.29 , 67.71 , 38.51 , 29.19 , 4.98 , 3.21 
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,
,,,,,,,,
表20、青年勞工加班情形─按工作地區、行業、規模別分,,,,,,,,
,,,中華民國,97年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,012 ", 100.00 , 41.72 , 58.28 , 34.15 , 24.13 , 5.78 , 3.44 
  工作地區別,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 41.99 , 58.01 , 23.32 , 34.70 , 5.15 , 1.94 
  高雄市  , 229 , 100.00 , 45.47 , 54.53 , 30.90 , 23.62 , 5.74 , 3.01 
  北    區," 1,287 ", 100.00 , 39.46 , 60.54 , 39.67 , 20.87 , 6.25 , 4.17 
  中    區, 771 , 100.00 , 41.59 , 58.41 , 41.17 , 17.24 , 6.00 , 4.33 
