"表09 青年勞工每週
",,,,,,,"工作時數
",,,,,
,,,,, 中華民國 ,, 101年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30小時~未滿
35小時","35小時~未滿
40小時",,40小時~未滿41小時,41小時~未滿42小時,42小時~未滿44小時,44小時及以上,平均每週工作天數,平均每日工作時數
,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 4.35 , 2.20 , 1.56 ,, 52.41 , 0.47 , 4.87 , 34.14 , 5.17 , 8.20 
性別,,,,,,,,,,,,
男," 1,679 ", 100.00 , 4.72 , 2.98 , 1.82 ,, 49.25 , 0.64 , 5.14 , 35.44 , 5.19 , 8.20 
女," 2,385 ", 100.00 , 4.00 , 1.48 , 1.32 ,, 55.35 , 0.30 , 4.61 , 32.94 , 5.16 , 8.20 
年齡,,,,,,,,,,,,
15-19歲, 136 , 100.00 , 18.79 , 5.40 , 4.73 ,, 35.23 , - , 7.82 , 28.04 , 5.06 , 7.48 
20-24歲, 962 , 100.00 , 6.66 , 3.86 , 2.25 ,, 48.82 , 0.42 , 4.38 , 33.61 , 5.16 , 8.12 
25-29歲," 2,966 ", 100.00 , 0.77 , 0.79 , 0.68 ,, 57.13 , 0.57 , 4.65 , 35.42 , 5.20 , 8.35 
教育程度,,,,,,,,,,,,
國中及以下, 137 , 100.00 , 5.83 , 3.69 , 0.79 ,, 42.83 , - , 5.22 , 41.64 , 5.27 , 8.13 
高中（職）," 1,020 ", 100.00 , 10.12 , 4.38 , 2.84 ,, 39.66 , 0.21 , 4.49 , 38.30 , 5.19 , 8.00 
專科, 285 , 100.00 , 1.97 , 1.09 , 1.12 ,, 53.09 , - , 1.92 , 40.80 , 5.24 , 8.38 
大學," 2,313 ", 100.00 , 1.60 , 1.15 , 1.07 ,, 59.27 , 0.52 , 4.67 , 31.73 , 5.17 , 8.27 
碩士及以上, 309 , 100.00 , 0.88 , 0.52 , 0.71 ,, 63.10 , 1.81 , 10.01 , 22.96 , 5.05 , 8.33 
專科以上科系,,,,,,,,,,,,
人文, 535 , 100.00 , 2.24 , 2.35 , 1.51 ,, 55.33 , - , 6.34 , 32.24 , 5.16 , 8.25 
社會," 1,286 ", 100.00 , 1.27 , 0.61 , 0.76 ,, 62.77 , 0.64 , 3.57 , 30.39 , 5.17 , 8.27 
科技," 1,086 ", 100.00 , 1.53 , 0.96 , 1.09 ,, 56.96 , 0.89 , 5.91 , 32.66 , 5.15 , 8.33 
行業,,,,,,,,,,,,
農、林、漁、牧業, 68 , 100.00 , - , 2.09 , - ,, 59.04 , - , 4.17 , 34.70 , 5.36 , 7.98 
工業," 1,345 ", 100.00 , 1.72 , 0.81 , 0.36 ,, 57.98 , 0.73 , 7.34 , 31.06 , 5.12 , 8.30 
礦業及土石採取業, 40 , 100.00 , 3.91 , 5.10 , - ,, 40.48 , - , - , 50.50 , 5.52 , 8.00 
