表3 青年勞工每週,,,,,,,正常工作時數,,,,,
,,,,, 中華民國 ,, 103年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿35
小時","35~未滿40
小時",,"40~未滿41
小時","41~未滿42
小時","42~未滿44
小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
總計," 4,034 ", 100.00 , 2.55 , 2.08 , 1.27 ,, 58.07 , 0.37 , 4.41 , 31.27 , 5.18 , 8.14 
性別,,,,,,,,,,,,
男," 1,688 ", 100.00 , 2.75 , 1.40 , 1.53 ,, 55.43 , 0.54 , 3.66 , 34.69 , 5.22 , 8.16 
女," 2,346 ", 100.00 , 2.36 , 2.70 , 1.02 ,, 60.51 , 0.21 , 5.10 , 28.09 , 5.15 , 8.12 
年齡,,,,,,,,,,,,
15~19歲, 121 , 100.00 , 11.96 , 9.23 , 4.48 ,, 38.63 , - , 2.63 , 33.06 , 5.19 , 7.68 
20~24歲," 1,007 ", 100.00 , 3.55 , 3.55 , 2.44 ,, 55.38 , 0.34 , 2.40 , 32.35 , 5.19 , 8.08 
25~29歲," 2,906 ", 100.00 , 0.87 , 0.43 , 0.26 ,, 61.86 , 0.43 , 5.67 , 30.49 , 5.18 , 8.23 
教育程度,,,,,,,,,,,,
國中及以下, 129 , 100.00 , 3.83 , 5.28 , 4.07 ,, 42.45 , 0.55 , 2.85 , 40.97 , 5.32 , 7.97 
高中（職）, 941 , 100.00 , 5.67 , 4.93 , 2.63 ,, 43.94 , 0.36 , 2.91 , 39.56 , 5.25 , 8.05 
專科, 203 , 100.00 , 5.82 , 0.81 , 1.53 ,, 56.47 , - , 4.30 , 31.07 , 5.20 , 8.02 
大學," 2,448 ", 100.00 , 0.95 , 0.79 , 0.51 ,, 66.25 , 0.23 , 4.34 , 26.94 , 5.15 , 8.18 
碩士及以上, 313 , 100.00 , - , - , - ,, 60.24 , 1.47 , 11.20 , 27.09 , 5.07 , 8.35 
專科以上科系,,,,,,,,,,,,
人文, 502 , 100.00 , 1.95 , 0.74 , 0.03 ,, 67.45 , - , 2.55 , 27.27 , 5.17 , 8.15 
社會," 1,276 ", 100.00 , 1.30 , 1.16 , 1.21 ,, 67.13 , 0.15 , 4.92 , 24.14 , 5.13 , 8.15 
科技," 1,216 ", 100.00 , 1.01 , 0.35 , 0.07 ,, 61.31 , 0.67 , 6.23 , 30.36 , 5.15 , 8.26 
行業,,,,,,,,,,,,
農、林、漁、牧業, 68 , 100.00 , - , - , - ,, 51.02 , - , 4.55 , 44.43 , 5.40 , 8.07 
工業," 1,253 ", 100.00 , 0.49 , 1.32 , 0.28 ,, 59.74 , 0.61 , 7.09 , 30.48 , 5.16 , 8.28 
礦業及土石採取業, 46 , 100.00 , - , - , - ,, 64.93 , - , - , 35.07 , 5.33 , 8.22 
製造業, 903 , 100.00 , 0.54 , 1.43 , 0.12 ,, 60.20 , 0.69 , 7.73 , 29.28 , 5.14 , 8.30 
電力及燃氣供應業, 96 , 100.00 , - , 0.79 , - ,, 71.54 , - , 0.75 , 26.93 , 5.22 , 8.03 
用水供應及污染整治業, 78 , 100.00 , 0.93 , - , 1.13 ,, 63.77 , - , - , 34.18 , 5.30 , 8.03 
營造業," 2,713 ", 100.00 , 3.47 , 2.42 , 1.71 ,, 57.34 , 0.26 , 3.21 , 31.60 , 5.19 , 8.07 
服務業, 130 , 100.00 , - , 0.54 , 1.53 ,, 55.12 , - , 2.56 , 40.24 , 5.33 , 8.20 
批發及零售業, 812 , 100.00 , 3.59 , 2.89 , 2.04 ,, 55.10 , 0.27 , 2.30 , 33.81 , 5.23 , 8.05 
