表3 青年勞工每週,,,,,,,工作時數,,,,,
,,,,, 中華民國 ,, 105年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿
35小時","35~未滿
40小時",,"40~未滿
41小時","41~未滿
42小時","42~未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
總計," 4,047 ", 100.00 , 6.46 , 2.76 , 3.77 ,, 70.19 , 0.06 , 1.86 , 14.89 , 5.01 , 7.89 
性別,,,,,,,,,,,,
男," 1,641 ", 100.00 , 7.41 , 3.77 , 3.24 ,, 68.76 , 0.01 , 1.34 , 15.46 , 5.00 , 7.87 
女," 2,406 ", 100.00 , 5.58 , 1.83 , 4.27 ,, 71.52 , 0.11 , 2.33 , 14.37 , 5.01 , 7.91 
年齡,,,,,,,,,,,,
15~19歲, 129 , 100.00 , 34.30 , 7.65 , 5.94 ,, 41.31 , -   , 1.28 , 9.52 , 4.70 , 6.83 
20~24歲," 1,061 ", 100.00 , 9.68 , 5.10 , 5.12 ,, 63.28 , 0.17 , 2.30 , 14.35 , 4.96 , 7.74 
25~29歲," 2,857 ", 100.00 , 1.37 , 0.91 , 2.78 ,, 77.41 , 0.01 , 1.68 , 15.83 , 5.07 , 8.09 
教育程度,,,,,,,,,,,,
國中及以下, 72 , 100.00 , 26.29 , 10.09 , 5.18 ,, 37.15 , -   , -   , 21.29 , 4.88 , 6.93 
高中（職）, 796 , 100.00 , 15.51 , 6.46 , 4.56 ,, 54.42 , 0.02 , 1.80 , 17.24 , 4.92 , 7.59 
專科, 200 , 100.00 , 8.98 , 4.62 , 4.09 ,, 58.96 , -   , 0.88 , 22.47 , 5.05 , 7.77 
大學," 2,599 ", 100.00 , 2.38 , 1.10 , 3.71 ,, 76.77 , 0.10 , 2.16 , 13.77 , 5.04 , 8.04 
碩士及以上, 380 , 100.00 , 0.31 , -   , 1.42 ,, 87.79 , -   , 1.26 , 9.21 , 5.03 , 8.11 
專科以上科系,,,,,,,,,,,,
人文, 669 , 100.00 , 1.92 , 1.63 , 4.91 ,, 72.50 , -   , 3.55 , 15.48 , 5.03 , 8.07 
社會," 1,329 ", 100.00 , 2.04 , 1.35 , 3.72 ,, 77.42 , 0.17 , 0.87 , 14.42 , 5.06 , 8.02 
科技," 1,240 ", 100.00 , 3.72 , 0.99 , 2.41 ,, 77.91 , 0.02 , 2.31 , 12.64 , 5.02 , 8.01 
行業,,,,,,,,,,,,
農、林、漁、牧業, 73 , 100.00 , 3.69 , 1.37 , 1.91 ,, 70.46 , -   , 3.18 , 19.38 , 5.11 , 7.87 
工業," 1,205 ", 100.00 , 2.25 , 1.13 , 1.43 ,, 84.55 , -   , 0.95 , 9.69 , 4.99 , 8.04 
礦業及土石採取業, 47 , 100.00 , 1.89 , 2.48 , -   ,, 74.92 , -   , 9.41 , 11.30 , 5.17 , 7.90 
製造業, 814 , 100.00 , 2.55 , 1.31 , 1.47 ,, 85.50 , -   , 0.85 , 8.31 , 4.96 , 8.05 
電力及燃氣供應業, 138 , 100.00 , -   , -   , -   ,, 81.37 , -   , 0.35 , 18.29 , 5.16 , 8.03 
用水供應及污染整治業, 100 , 100.00 , 4.18 , -   , 1.47 ,, 82.57 , -   , 2.10 , 9.69 , 5.05 , 7.92 
營建工程業, 106 , 100.00 , -   , -   , 1.14 ,, 78.05 , -   , 1.55 , 19.26 , 5.18 , 8.03 
服務業," 2,769 ", 100.00 , 8.06 , 3.38 , 4.67 ,, 64.74 , 0.09 , 2.20 , 16.86 , 5.01 , 7.83 
批發及零售業, 706 , 100.00 , 8.22 , 4.42 , 2.90 ,, 64.85 , 0.20 , 2.46 , 16.96 , 5.04 , 7.82 
