表010、青年勞工平均每週工作時數─按性別、年齡、教育程度、                      大專以上科系別分,,,,,,,,
,,,中華民國九十五年七月,,,,,單位：人，%，小時
項    目    別,加  權  後        樣  本  數,合    計,40小時     以    下,40小時,"40小時以上~未滿
42小時",42小時,42小時     以    上,"平  均
工  作
時  數"
總                                 計," 4,968 ", 100.00 , 9.17 , 42.02 , 1.35 , 6.36 , 41.10 , 42.23 
  性          別,,,,,,,,
男    性," 2,427 ", 100.00 , 7.59 , 39.49 , 1.11 , 6.82 , 44.99 , 42.98 
女    性," 2,541 ", 100.00 , 10.69 , 44.42 , 1.58 , 5.92 , 37.39 , 41.51 
  年          齡     ,,,,,,,,
15~19歲, 158 , 100.00 , 28.06 , 33.31 , 1.54 , 3.85 , 33.24 , 39.50 
20~24歲," 1,038 ", 100.00 , 15.29 , 38.90 , 1.16 , 4.94 , 39.71 , 41.07 
25~29歲," 3,772 ", 100.00 , 6.70 , 43.24 , 1.39 , 6.86 , 41.82 , 42.66 
  教 育 程 度,,,,,,,,
國中及以下, 155 , 100.00 , 11.94 , 34.67 , 0.43 , 3.99 , 48.98 , 42.52 
高中(職)," 1,560 ", 100.00 , 10.35 , 34.53 , 1.14 , 5.15 , 48.84 , 42.99 
專科," 1,352 ", 100.00 , 8.92 , 44.13 , 1.88 , 6.22 , 38.84 , 41.92 
大學," 1,682 ", 100.00 , 8.21 , 47.77 , 1.13 , 6.54 , 36.35 , 41.74 
碩士以上, 219 , 100.00 , 7.72 , 43.26 , 1.95 , 16.19 , 30.87 , 42.18 
     大專以上科系別,,,,,,,,
理、工、資訊、醫、農," 1,325 ", 100.00 , 6.58 , 44.20 , 1.38 , 9.38 , 38.46 , 42.18 
商、管、法、人文," 1,725 ", 100.00 , 9.86 , 46.89 , 1.71 , 5.43 , 36.10 , 41.61 
傳播、藝術, 125 , 100.00 , 7.94 , 52.07 , 0.66 , 4.70 , 34.63 , 41.63 
其他, 77 , 100.00 , 10.93 , 45.42 , - , 7.16 , 36.49 , 41.64 
,,,,,,,,
-11-,,,,,,,,
表011、青年勞工平均每週工作時數─按工作地區、行業、規模別分,,,,,,,,
,,,中華民國九十五年七月,,,,,單位：人，%，小時
項    目    別,加  權  後        樣  本  數,合    計,40小時     以    下,40小時,"40小時以上~未滿
42小時",42小時,42小時     以    上,"平  均
工  作
時  數"
總                                 計," 4,968 ", 100.00 , 9.17 , 42.02 , 1.35 , 6.36 , 41.10 , 42.23 
  工   作  地    區,,,,,,,,
台北市 , 979 , 100.00 , 11.88 , 48.84 , 0.74 , 4.06 , 34.47 , 41.46 
高雄市  , 362 , 100.00 , 8.49 , 43.17 , 1.52 , 4.38 , 42.44 , 42.77 
北    部," 1,671 ", 100.00 , 7.93 , 42.72 , 1.66 , 8.03 , 39.66 , 42.01 
中    部," 1,094 ", 100.00 , 8.41 , 37.95 , 1.34 , 5.33 , 46.97 , 43.01 
南    部, 748 , 100.00 , 9.60 , 36.38 , 1.26 , 8.20 , 44.57 , 42.35 
東    部, 114 , 100.00 , 10.83 , 45.48 , 2.27 , 5.62 , 35.79 , 42.06 
  行          業,,,,,,,,
農林漁牧業, 4 , 100.00 , 6.40 , 44.47 , 1.37 , 9.99 , 37.76 , 42.39 
礦業及土石採取業, 2 , 100.00 , 16.91 , 51.55 , - , 5.51 , 26.03 , 41.38 
製造業," 1,753 ", 100.00 , 5.61 , 41.50 , 1.62 , 8.96 , 42.31 , 42.36 
水電燃氣業 , 5 , 100.00 , 7.80 , 68.31 , - , 2.92 , 20.96 , 40.40 
營造業, 168 , 100.00 , 5.52 , 45.40 , 3.39 , 4.30 , 41.39 , 42.55 
批發及零售業," 1,413 ", 100.00 , 11.71 , 37.44 , 1.80 , 5.84 , 43.21 , 42.36 
住宿及餐飲業, 247 , 100.00 , 19.68 , 23.38 , - , 3.75 , 53.19 , 43.65 
運輸、倉儲及通信業, 159 , 100.00 , 11.93 , 46.89 , 0.42 , 3.01 , 37.75 , 41.73 
金融及保險業, 248 , 100.00 , 7.35 , 49.32 , 0.22 , 2.34 , 40.76 , 41.87 
不動產及租賃業, 58 , 100.00 , 12.36 , 36.36 , 0.97 , 2.46 , 47.85 , 42.84 
專業科學及技術服務業, 300 , 100.00 , 8.62 , 54.38 , 1.27 , 7.10 , 28.63 , 41.30 
教育服務業, 60 , 100.00 , 18.13 , 59.92 , - , 4.11 , 17.83 , 38.82 
醫療保健及社會福利服務業, 180 , 100.00 , 6.06 , 52.14 , - , 4.42 , 37.38 , 42.21 
文化運動及休閒服務業, 106 , 100.00 , 15.37 , 37.36 , - , 3.17 , 44.11 , 41.25 
其他服務業, 223 , 100.00 , 10.47 , 46.68 , 0.62 , 5.27 , 36.96 , 42.20 
公共行政業, 43 , 100.00 , 3.18 , 84.61 , 1.08 , 1.22 , 9.91 , 40.26 
  規          模,,,,,,,,
9人以下, 740 , 100.00 , 10.57 , 40.52 , 0.89 , 3.67 , 44.34 , 42.48 
10人～19人, 632 , 100.00 , 9.32 , 39.76 , 0.91 , 3.48 , 46.53 , 42.56 
20人～49人, 671 , 100.00 , 8.04 , 36.49 , 1.61 , 5.98 , 47.88 , 42.54 
50人～199人, 897 , 100.00 , 8.09 , 43.93 , 2.28 , 6.78 , 38.92 , 42.20 
