表16  、青年勞工每週工作時數─按性別、年齡、教育程度別分,,,,,,,,,
,,,中華民國,97年10月,,,,,單位：人，%，天，小時
項    目    別,樣 本 數,合    計,"未滿
40小時","40小時~
未滿
41小時","41小時~
未滿
42小時","42小時~
未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,
,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 9.58 , 47.20 , 0.13 , 5.45 , 37.65 , 5.21 , 8.25 
  性別,,,,,,,,,
  男性," 1,995 ", 100.00 , 9.20 , 43.71 , 0.17 , 5.39 , 41.53 , 5.24 , 8.30 
  女性," 2,017 ", 100.00 , 9.95 , 50.65 , 0.09 , 5.50 , 33.81 , 5.17 , 8.20 
  年齡別    ,,,,,,,,,
  15~19歲, 322 , 100.00 , 37.79 , 30.18 , 0.03 , 4.00 , 27.99 , 5.07 , 7.35 
  20~24歲," 1,267 ", 100.00 , 12.80 , 41.20 , 0.24 , 4.67 , 41.09 , 5.25 , 8.24 
  25~29歲," 2,423 ", 100.00 , 4.15 , 52.59 , 0.09 , 6.05 , 37.13 , 5.20 , 8.38 
  教育程度別,,,,,,,,,
  國中及以下, 244 , 100.00 , 22.03 , 29.64 , - , 1.59 , 46.73 , 5.33 , 8.20 
  高中(職)," 1,276 ", 100.00 , 15.42 , 33.58 , 0.41 , 5.18 , 45.41 , 5.29 , 8.12 
  專科, 643 , 100.00 , 6.37 , 50.56 , - , 5.36 , 37.70 , 5.25 , 8.28 
  大學," 1,627 ", 100.00 , 5.32 , 57.22 , 0.00 , 5.73 , 31.72 , 5.14 , 8.32 
  碩士及以上, 222 , 100.00 , 2.84 , 61.47 , - , 9.38 , 26.32 , 5.00 , 8.44 
 專科以上科系別,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 5.54 , 51.57 , 0.01 , 6.37 , 36.52 , 5.17 , 8.42 
  商、管、教育、法、文," 1,377 ", 100.00 , 5.92 , 58.06 , - , 5.53 , 30.48 , 5.15 , 8.24 
  傳播、藝術, 118 , 100.00 , 7.69 , 47.79 , - , 5.64 , 38.88 , 5.11 , 8.30 
  其他, 158 , 100.00 , 3.49 , 58.79 , - , 6.26 , 31.47 , 5.18 , 8.35 
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,
,,,,,,,,,
表17  、青年勞工每週工作時數─按工作地區、行業、規模別分,,,,,,,,,
,,,中華民國,97年10月,,,,,單位：人，%，天，小時
項    目    別,樣 本 數,合    計,"未滿
40小時","40小時~
未滿
41小時","41小時~
未滿
42小時","42小時~
未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,
,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 9.58 , 47.20 , 0.13 , 5.45 , 37.65 , 5.21 , 8.25 
  工作地區別,,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 11.50 , 52.49 , - , 2.72 , 33.29 , 5.11 , 8.28 
  高雄市  , 229 , 100.00 , 10.30 , 36.69 , - , 4.07 , 48.94 , 5.35 , 8.24 
  北    區," 1,287 ", 100.00 , 8.86 , 47.93 , 0.16 , 7.93 , 35.13 , 5.18 , 8.30 
  中    區, 771 , 100.00 , 7.92 , 43.66 , 0.23 , 5.73 , 42.46 , 5.28 , 8.20 
  南    區, 508 , 100.00 , 9.14 , 43.29 , 0.22 , 5.71 , 41.65 , 5.29 , 8.14 
  東    區, 35 , 100.00 , 9.23 , 44.49 , 0.85 , 5.67 , 39.76 , 5.29 , 8.14 
  行業別,,,,,,,,,
  農林漁牧業, 3 , 100.00 , 15.58 , 50.02 , 1.96 , 10.69 , 21.74 , 5.33 , 7.79 
  礦業及土石採取業, 1 , 100.00 , 2.51 , 34.14 , - , - , 63.35 , 5.59 , 8.42 
  製造業," 1,334 ", 100.00 , 2.68 , 54.03 , 0.08 , 9.52 , 33.69 , 5.17 , 8.36 
  水電燃氣業 , 5 , 100.00 , 1.43 , 79.99 , 1.84 , 0.67 , 16.07 , 5.14 , 8.06 
  營造業, 135 , 100.00 , 3.97 , 44.90 , - , 3.48 , 47.65 , 5.39 , 8.16 
