項目別,加  權  後        樣  本  數,合    計,"15,840元以下","15,840元 ~  未滿2萬元",2萬元   ~  未滿2.5萬元,2.5萬元 ~未滿3萬元,3萬元 ~未滿3.5萬元,3.5萬元 ~未滿4萬,4萬元~未滿4.5萬元,4.5萬元  ~未滿5萬元,5萬元以上,平均薪資
總計,4968,100,4.47,7.18,18.58,22.82,21.92,10.83,7.6,2.96,3.64,29356
性別,,,,,,,,,,,,
男性,2427,100,4.63,5.76,11.39,19.85,24.24,13.65,11.04,4.26,5.18,31388
女性,2541,100,4.31,8.52,25.45,25.66,19.7,8.13,4.32,1.72,2.18,27416
 教育程度,,,,,,,,,,,,
國中及以下,155,100,6.95,25.44,24.9,15.46,12.12,11.05,2.62, - ,1.46,24299
高中(職),1560,100,5.91,12.5,25.09,23.13,18.99,6.6,4.67,1.41,1.7,26188
專科,1352,100,3.58,5.77,21.08,24.38,25.58,9.45,5.33,2.37,2.46,28514
大學,1682,100,3.97,2.61,11.97,24.81,24.29,14.76,9.4,3.91,4.3,31652
碩士以上,219,100,1.78, - ,3.05,0.87,9.01,19.18,32.28,12.5,21.32,43078
工作地區,,,,,,,,,,,,
台北市 ,979,100,3.18,3.45,12.05,23.42,25.25,13.66,9.07,4.34,5.58,31798
高雄市  ,362,100,4.72,13.12,27.45,19.51,16.91,8.3,4.52,2.07,3.39,26907
北部,1671,100,3.32,4.56,13.65,21.51,24.95,13.93,9.83,3.95,4.3,31152
中部,1094,100,5.54,9.9,22.56,25.08,19.77,7.06,5.58,1.87,2.64,27634
南部,748,100,6.79,10.12,26.74,22.94,17.37,7.92,5.64,1.13,1.35,26355
東部,114,100,6.04,13.09,27.09,25.01,15.38,4.39,4.35,1.87,2.78,26047
