表013、青年勞工目前工作平均每月工作收入,,,,,,,,─按性別、年齡、教育程度、大專以上科系別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840元 ~ 
 未滿2萬元","2萬元   ~ 
 未滿2.5萬元","2.5萬元 ~
未滿3萬元",,3萬元   ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬",4萬元   ~                        未滿4.5萬元,"4.5萬元  ~
未滿5萬元",5萬元以上,平均薪資
總                                 計,4968,100,4.47,7.18,18.58,22.82,,21.92,10.83,7.6,2.96,3.64,29356
  性          別,,,,,,,,,,,,,
男    性,2427,100,4.63,5.76,11.39,19.85,,24.24,13.65,11.04,4.26,5.18,31388
女    性,2541,100,4.31,8.52,25.45,25.66,,19.7,8.13,4.32,1.72,2.18,27416
  年          齡     ,,,,,,,,,,,,,
15~19歲,158,100,31.16,38.16,23.17,4.4,,2.25,0.86, - , - , - ,16795
20~24歲,1038,100,11.6,12.67,30.91,24.41,,13.2,4.26,2.13,0.52,0.31,23574
25~29歲,3772,100,1.39,4.36,14.99,23.16,,25.15,13.06,9.43,3.76,4.71,31475
  教 育 程 度,,,,,,,,,,,,,
國中及以下,155,100,6.95,25.44,24.9,15.46,,12.12,11.05,2.62, - ,1.46,24299
高中(職),1560,100,5.91,12.5,25.09,23.13,,18.99,6.6,4.67,1.41,1.7,26188
專科,1352,100,3.58,5.77,21.08,24.38,,25.58,9.45,5.33,2.37,2.46,28514
大學,1682,100,3.97,2.61,11.97,24.81,,24.29,14.76,9.4,3.91,4.3,31652
碩士以上,219,100,1.78, - ,3.05,0.87,,9.01,19.18,32.28,12.5,21.32,43078
     大專以上科系別,,,,,,,,,,,,,
理、工、資訊、醫、農,1325,100,3.9,1.86,9.26,17.36,,24.47,15.42,14.25,5.95,7.53,33859
商、管、法、人文,1725,100,3.61,5.26,18.97,27.48,,22.39,11.1,5.7,2.61,2.88,29278
傳播、藝術,125,100,3.11,2.07,16.39,22.71,,33.64,12.14,7.4,0.94,1.6,29458
其他,77,100,1.52,5.25,29.08,21.1,,27.79,8.95,5.4, - ,0.92,27823
,,,,,,,,,,,,,
-14-,,,,,,,,-15-,,,,,
表014、青年勞工目前工作平均每月工作收入,,,,,,,,─按工作地區、行業、規模別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840元 ~ 
 未滿2萬元","2萬元   ~ 
 未滿2.5萬元","2.5萬元 ~
未滿3萬元",,3萬元   ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬",4萬元   ~                        未滿4.5萬元,"4.5萬元  ~
未滿5萬元",5萬元以上,平均薪資
總                                 計,4968,100,4.47,7.18,18.58,22.82,,21.92,10.83,7.6,2.96,3.64,29356
  工   作  地    區,,,,,,,,,,,,,
台北市 ,979,100,3.18,3.45,12.05,23.42,,25.25,13.66,9.07,4.34,5.58,31798
高雄市  ,362,100,4.72,13.12,27.45,19.51,,16.91,8.3,4.52,2.07,3.39,26907
北    部,1671,100,3.32,4.56,13.65,21.51,,24.95,13.93,9.83,3.95,4.3,31152
中    部,1094,100,5.54,9.9,22.56,25.08,,19.77,7.06,5.58,1.87,2.64,27634
