項目別,樣 本 數,合    計,"未滿17,280元","17,280~
未滿2萬元","2萬~未滿
2萬5千元","2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元",5萬元及以上,"平均
每月薪資"
總計,4012,100,8.4,7.71,19.75,25.45,19.56,8.91,5.08,2.48,2.66,27831
 性別,,,,,,,,,,,,
  男性,1995,100,7.76,7.09,14.96,22.31,22.19,10.79,7.22,3.56,4.12,29671
  女性,2017,100,9.03,8.33,24.5,28.55,16.96,7.06,2.96,1.41,1.21,26010
 年齡別    ,,,,,,,,,,,,
  15~19歲,322,100,39.69,25.33,23.65,7.36,3.14,0.82, - , - , - ,17384
 20~24歲,1267,100,13.09,10.34,27.2,29.65,13.18,3.41,1.92,0.4,0.81,24518
 25~29歲,2423,100,1.79,4,15.34,25.65,25.07,12.86,7.41,3.9,3.98,30949
 教育程度別,,,,,,,,,,,,
 國中及以下,244,100,26.88,16.95,23.06,18.93,10.1,2.58,0.86, - ,0.64,21357
 高中(職),1276,100,14.92,13.72,25.88,23.98,13.3,3.57,2.35,1.2,1.08,23804
 專科,643,100,3.9,6.45,23.73,26.85,25,8.39,1.86,1.89,1.93,27556
 大學,1627,100,3.35,3.04,15.33,29.76,24.76,12.72,5.51,2.26,3.26,30336
 碩士及以上,222,100,0.59,1,1.74,5.32,12.02,20.16,31.56,15.94,11.66,40505
 工作地區別,,,,,,,,,,,,
 台北市 ,1182,100,9.04,4.74,10.42,25.06,26.63,10.62,6.74,3.4,3.35,29936
 高雄市  ,229,100,8.65,15.64,25.64,22.87,15.14,4.51,4.75,1.18,1.62,25438
 北    區,1287,100,6.5,5.23,18.58,24.77,21.9,10.48,5.59,3.39,3.56,28910
 中    區,771,100,8.98,10.94,26.74,27.87,12.29,7.36,3.79,0.77,1.26,25588
 南    區,508,100,10.63,12.21,30.59,25.53,10.46,5.46,2.19,1.38,1.55,24875
 東    區,35,100,9.49,11.27,28.15,25.22,15.96,6.93,2.64,0.33, - ,24968
