表25、青年勞工目前工作平均每月工作收入,,,,,,,─按性別、年齡、教育程度別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
項    目    別,樣 本 數,合    計,"未滿17,280元","17,280~
未滿2萬元","2萬~未滿
2萬5千元",,"2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元",5萬元及以上,"平均
每月薪資"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 8.40 , 7.71 , 19.75 ,, 25.45 , 19.56 , 8.91 , 5.08 , 2.48 , 2.66 ," 27,831 "
  性別,,,,,,,,,,,,,
  男性," 1,995 ", 100.00 , 7.76 , 7.09 , 14.96 ,, 22.31 , 22.19 , 10.79 , 7.22 , 3.56 , 4.12 ," 29,671 "
  女性," 2,017 ", 100.00 , 9.03 , 8.33 , 24.50 ,, 28.55 , 16.96 , 7.06 , 2.96 , 1.41 , 1.21 ," 26,010 "
  年齡別    ,,,,,,,,,,,,,
  15~19歲, 322 , 100.00 , 39.69 , 25.33 , 23.65 ,, 7.36 , 3.14 , 0.82 , - , - , - ," 17,384 "
  20~24歲," 1,267 ", 100.00 , 13.09 , 10.34 , 27.20 ,, 29.65 , 13.18 , 3.41 , 1.92 , 0.40 , 0.81 ," 24,518 "
  25~29歲," 2,423 ", 100.00 , 1.79 , 4.00 , 15.34 ,, 25.65 , 25.07 , 12.86 , 7.41 , 3.90 , 3.98 ," 30,949 "
  教育程度別,,,,,,,,,,,,,
  國中及以下, 244 , 100.00 , 26.88 , 16.95 , 23.06 ,, 18.93 , 10.10 , 2.58 , 0.86 , - , 0.64 ," 21,357 "
  高中(職)," 1,276 ", 100.00 , 14.92 , 13.72 , 25.88 ,, 23.98 , 13.30 , 3.57 , 2.35 , 1.20 , 1.08 ," 23,804 "
  專科, 643 , 100.00 , 3.90 , 6.45 , 23.73 ,, 26.85 , 25.00 , 8.39 , 1.86 , 1.89 , 1.93 ," 27,556 "
  大學," 1,627 ", 100.00 , 3.35 , 3.04 , 15.33 ,, 29.76 , 24.76 , 12.72 , 5.51 , 2.26 , 3.26 ," 30,336 "
  碩士及以上, 222 , 100.00 , 0.59 , 1.00 , 1.74 ,, 5.32 , 12.02 , 20.16 , 31.56 , 15.94 , 11.66 ," 40,505 "
 專科以上科系別,,,,,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 3.66 , 3.04 , 10.09 ,, 22.19 , 21.93 , 16.55 , 10.18 , 6.00 , 6.35 ," 33,497 "
  商、管、教育、法、文," 1,377 ", 100.00 , 3.28 , 4.39 , 20.53 ,, 29.30 , 23.92 , 10.30 , 4.59 , 1.30 , 2.39 ," 28,764 "
  傳播、藝術, 118 , 100.00 , 6.36 , 3.65 , 13.78 ,, 32.03 , 25.60 , 7.95 , 4.45 , 4.04 , 2.15 ," 28,835 "
