表8 青年勞工覺得學校所學與目前工作學以致用的程度,,,,,,,
,,, 中華民國105年10月  ,,,, 單位：人，％ 
項目別,樣本數,合計,很高,高,普通,低,很低
,,,,,,,
總計," 4,047 ", 100.00 , 4.95 , 16.15 , 50.63 , 13.49 , 14.78 
性別,,,,,,,
男," 1,641 ", 100.00 , 4.63 , 16.23 , 47.62 , 13.50 , 18.01 
女," 2,406 ", 100.00 , 5.25 , 16.08 , 53.42 , 13.48 , 11.78 
年齡,,,,,,,
15~19歲, 129 , 100.00 , 1.78 , 14.22 , 45.94 , 10.65 , 27.41 
20~24歲," 1,061 ", 100.00 , 5.06 , 13.38 , 54.33 , 15.13 , 12.11 
25~29歲," 2,857 ", 100.00 , 5.27 , 17.89 , 49.18 , 12.94 , 14.71 
教育程度,,,,,,,
國中及以下, 72 , 100.00 , 1.26 , 7.64 , 51.00 , 9.53 , 30.57 
高中（職）, 796 , 100.00 , 3.14 , 10.43 , 50.69 , 14.60 , 21.15 
專科, 200 , 100.00 , 6.08 , 17.73 , 51.91 , 12.61 , 11.67 
大學," 2,599 ", 100.00 , 4.74 , 15.88 , 51.52 , 14.47 , 13.39 
碩士及以上, 380 , 100.00 , 11.80 , 35.16 , 43.83 , 6.08 , 3.13 
專科以上科系,,,,,,,
人文, 669 , 100.00 , 7.49 , 16.90 , 47.89 , 14.27 , 13.45 
社會," 1,329 ", 100.00 , 3.16 , 14.85 , 57.52 , 13.11 , 11.35 
科技," 1,240 ", 100.00 , 7.31 , 22.71 , 45.31 , 12.84 , 11.83 
行業,,,,,,,
農、林、漁、牧業, 73 , 100.00 , 6.80 , 21.07 , 53.41 , 11.00 , 7.72 
工業," 1,205 ", 100.00 , 3.50 , 15.11 , 50.13 , 13.52 , 17.74 
礦業及土石採取業, 47 , 100.00 , -   , 19.23 , 43.50 , 22.34 , 14.93 
製造業, 814 , 100.00 , 3.51 , 14.65 , 50.11 , 13.29 , 18.44 
電力及燃氣供應業, 138 , 100.00 , 0.92 , 13.12 , 53.79 , 11.88 , 20.29 
用水供應及污染整治業, 100 , 100.00 , 1.42 , 12.34 , 43.90 , 17.21 , 25.13 
營建工程業, 106 , 100.00 , 3.64 , 18.66 , 50.64 , 14.90 , 12.16 
服務業," 2,769 ", 100.00 , 5.50 , 16.54 , 50.82 , 13.48 , 13.66 
批發及零售業, 706 , 100.00 , 1.68 , 13.42 , 54.82 , 14.71 , 15.37 
運輸及倉儲業, 123 , 100.00 , 1.46 , 11.64 , 52.35 , 13.30 , 21.24 
住宿及餐飲業, 269 , 100.00 , 3.73 , 13.57 , 53.18 , 11.82 , 17.70 
出版/影音製作/傳播及資通訊服務業, 228 , 100.00 , 3.30 , 21.58 , 45.76 , 16.54 , 12.82 
金融及保險業, 204 , 100.00 , 5.66 , 18.67 , 54.39 , 14.18 , 7.10 
不動產業, 98 , 100.00 , 4.22 , 10.48 , 60.01 , 14.06 , 11.23 
專業、科學及技術服務業, 223 , 100.00 , 13.48 , 24.93 , 47.49 , 9.09 , 5.01 
支援服務業, 116 , 100.00 , 0.66 , 7.31 , 44.33 , 24.26 , 23.45 
公共行政及國防;強制性社會安全, 153 , 100.00 , 1.44 , 15.41 , 50.73 , 16.48 , 15.93 
教育業, 213 , 100.00 , 17.82 , 23.90 , 45.52 , 7.38 , 5.38 
醫療保健及社會工作服務業, 257 , 100.00 , 17.39 , 28.50 , 35.27 , 10.74 , 8.10 
藝術、娛樂及休閒服務業, 65 , 100.00 , -   , 16.04 , 66.28 , 11.04 , 6.63 
其他服務業, 114 , 100.00 , 4.45 , 13.58 , 56.10 , 12.17 , 13.70 
職業,,,,,,,
民意代表、主管及經理人員, 31 , 100.00 , 7.21 , 9.87 , 51.79 , 13.88 , 17.24 
專業人員, 803 , 100.00 , 13.69 , 29.59 , 41.86 , 8.05 , 6.81 
技術員及助理專業人員, 861 , 100.00 , 4.01 , 14.17 , 52.27 , 15.33 , 14.22 
事務支援人員," 1,166 ", 100.00 , 2.12 , 14.32 , 58.11 , 14.02 , 11.43 
服務及銷售工作人員, 727 , 100.00 , 2.77 , 12.49 , 53.19 , 13.08 , 18.48 
農林漁牧業生產人員, 46 , 100.00 , 1.72 , 5.27 , 75.26 , 4.14 , 13.61 
技藝有關工作人員, 121 , 100.00 , 4.72 , 14.20 , 49.66 , 6.29 , 25.13 
機械設備操作及組裝人員, 149 , 100.00 , -   , 7.71 , 41.55 , 23.44 , 27.31 
基層技術工及勞力工, 143 , 100.00 , -   , 2.42 , 34.82 , 27.38 , 35.37 
說明：專科以上科系可複選。,,,,,,,
表8 青年勞工覺得學校所學與目前工作學以致用的程度(續),,,,,,,
,,, 中華民國105年10月  ,,,, 單位：人，％ 
項目別,樣本數,合計,很高,高,普通,低,很低
,,,,,,,
總計," 4,047 ", 100.00 , 4.95 , 16.15 , 50.63 , 13.49 , 14.78 
工作地區,,,,,,,
北部地區," 1,726 ", 100.00 , 5.79 , 17.03 , 49.24 , 14.01 , 13.93 
中部地區," 1,044 ", 100.00 , 4.69 , 12.61 , 51.82 , 13.82 , 17.06 
