"表22 青年勞工離開
",,,,,,,,,,,"第一份工作的原因
",,,,,,,,,
 中華民國 ,,,,,,,,,,, 101年 10月 ,,,,,,,,,單位：人，％
項目別,樣本數,合計,目前工作為第一份工作,不是第一,,,,,,,份工作,,,,,,,,,
,,,,計,"待遇及
福利差",工作無發展前景,"性向
不合","工作環
境不佳","想更換
工作地點",,個人技能無法有效發揮,"公司經
營困難","家庭或
健康因素","工作太累、
壓力大","與同事或主
管相處困難","想自行
開創事業",被解雇,"準備
考試",其他,平均第一份工作做幾個月
總計," 4,064 ", 100.00 , 38.05 , 61.95 , 20.82 , 20.50 , 9.12 , 11.37 , 19.91 ,, 7.54 , 3.24 , 4.64 , 9.90 , 4.96 , 0.91 , 1.94 , 5.38 , 4.69 , 16.97 
性別,,,,,,,,,,,,,,,,,,,,
男," 1,679 ", 100.00 , 39.23 , 60.77 , 20.85 , 20.04 , 8.87 , 11.33 , 17.94 ,, 7.25 , 3.00 , 3.39 , 8.06 , 4.22 , 1.20 , 2.17 , 4.95 , 6.27 , 15.93 
女," 2,385 ", 100.00 , 36.96 , 63.04 , 20.79 , 20.92 , 9.36 , 11.41 , 21.75 ,, 7.80 , 3.46 , 5.79 , 11.61 , 5.65 , 0.65 , 1.72 , 5.77 , 3.22 , 17.89 
年齡,,,,,,,,,,,,,,,,,,,,
15-19歲, 136 , 100.00 , 58.37 , 41.63 , 19.25 , 14.30 , 5.98 , 9.65 , 18.30 ,, 6.17 , 0.61 , - , 8.09 , 4.15 , - , 1.12 , 6.31 , 1.34 , 6.27 
20-24歲, 962 , 100.00 , 45.44 , 54.56 , 17.47 , 16.54 , 7.84 , 10.25 , 19.08 ,, 7.89 , 2.95 , 4.64 , 8.38 , 4.03 , 1.01 , 1.23 , 5.83 , 4.25 , 14.43 
25-29歲," 2,966 ", 100.00 , 30.79 , 69.21 , 22.88 , 23.62 , 10.32 , 12.25 , 20.62 ,, 7.57 , 3.82 , 5.39 , 11.01 , 5.59 , 1.01 , 2.45 , 4.98 , 5.46 , 19.08 
教育程度,,,,,,,,,,,,,,,,,,,,
國中及以下, 137 , 100.00 , 34.97 , 65.03 , 25.56 , 17.03 , 5.23 , 12.61 , 29.40 ,, 6.40 , 4.31 , 2.18 , 11.81 , 2.57 , 0.65 , 1.62 , 6.59 , 2.48 , 17.08 
高中（職）," 1,020 ", 100.00 , 30.64 , 69.36 , 24.51 , 20.97 , 8.32 , 11.72 , 23.90 ,, 7.25 , 2.82 , 5.53 , 9.52 , 6.12 , 1.11 , 2.28 , 5.87 , 5.99 , 17.20 
專科, 285 , 100.00 , 23.61 , 76.39 , 25.14 , 23.14 , 9.98 , 15.25 , 25.63 ,, 10.07 , 3.76 , 6.17 , 12.58 , 5.66 , 1.24 , 4.02 , 7.91 , 3.68 , 21.77 
大學," 2,313 ", 100.00 , 41.58 , 58.42 , 19.43 , 21.17 , 10.14 , 11.20 , 16.98 ,, 7.97 , 3.62 , 4.31 , 9.66 , 4.35 , 0.87 , 1.75 , 4.84 , 4.32 , 16.15 
碩士及以上, 309 , 100.00 , 58.63 , 41.37 , 8.51 , 14.14 , 7.37 , 6.92 , 12.33 ,, 4.35 , 1.21 , 3.57 , 9.33 , 5.39 , 0.34 , 0.18 , 3.95 , 4.31 , 15.28 
專科以上科系,,,,,,,,,,,,,,,,,,,,
人文, 535 , 100.00 , 37.87 , 62.13 , 17.06 , 26.24 , 10.23 , 14.32 , 20.02 ,, 10.85 , 4.77 , 4.16 , 11.48 , 5.66 , 1.38 , 2.65 , 5.47 , 4.96 , 17.12 
社會," 1,286 ", 100.00 , 39.56 , 60.44 , 21.32 , 21.28 , 12.03 , 10.84 , 16.24 ,, 6.88 , 3.34 , 5.33 , 10.70 , 4.50 , 0.62 , 1.44 , 4.56 , 3.81 , 16.58 
科技," 1,086 ", 100.00 , 45.88 , 54.12 , 16.79 , 17.06 , 7.24 , 9.88 , 17.18 ,, 7.21 , 2.69 , 3.57 , 8.36 , 4.22 , 0.83 , 1.78 , 5.37 , 4.39 , 16.98 
說明1：離開原因可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,,,,,,,
