表17 青年勞工離開,,,,,,,,,,第一份工作的原因,,,,,,,,,,,
 中華民國 ,,,,,,,,,, 103年 10月 ,,,,,,,,,,,單位：人，％，月
項目別,樣本數,合計,目前工作為第一份工作,不是第一份工作， ,,,,,,離開的原因,,,,,,,,,,,"第一份
工作
年資"
,,,,計,"待遇及
福利差","工作無
發展前景","性向
不合","工作
環境不佳",,"想更換
工作地點",個人技能無法有效發揮,"公司經
營困難","家庭或
健康因素","工作太累
、壓力大",與同事或主管相處困難,"想自行
開創事業","被
解雇","準備
考試",其他,平均第一份工作年資,
總計," 4,034 ", 100.00 , 41.28 , 58.72 , 19.59 , 18.25 , 8.44 , 10.19 ,, 18.70 , 6.74 , 3.31 , 3.79 , 9.47 , 5.74 , 1.00 , 1.74 , 2.55 , 5.07 , 16.38 , 20.54 
性別,,,,,,,,,,,,,,,,,,,,,
男," 1,688 ", 100.00 , 45.06 , 54.94 , 19.29 , 17.03 , 7.85 , 10.08 ,, 15.30 , 5.85 , 3.39 , 3.10 , 7.67 , 4.90 , 1.36 , 1.20 , 2.54 , 6.29 , 15.61 , 19.65 
女," 2,346 ", 100.00 , 37.77 , 62.23 , 19.86 , 19.39 , 8.99 , 10.30 ,, 21.87 , 7.56 , 3.23 , 4.43 , 11.14 , 6.53 , 0.66 , 2.23 , 2.57 , 3.95 , 17.00 , 21.37 
年齡,,,,,,,,,,,,,,,,,,,,,
15~19歲, 121 , 100.00 , 63.52 , 36.48 , 9.73 , 10.68 , 5.15 , 8.36 ,, 10.54 , 1.28 , 0.89 , 1.45 , 6.22 , 4.34 , - , 0.89 , 2.97 , 2.89 , 6.98 , 10.48 
20~24歲," 1,007 ", 100.00 , 49.89 , 50.11 , 16.67 , 14.48 , 7.32 , 8.91 ,, 18.04 , 6.46 , 2.20 , 2.71 , 8.69 , 6.00 , 0.54 , 0.90 , 2.55 , 4.76 , 14.78 , 16.23 
25~29歲," 2,906 ", 100.00 , 34.05 , 65.95 , 22.32 , 21.15 , 9.43 , 11.09 ,, 20.06 , 7.56 , 4.18 , 4.64 , 10.28 , 5.78 , 1.36 , 2.28 , 2.50 , 5.51 , 17.65 , 24.03 
教育程度,,,,,,,,,,,,,,,,,,,,,
國中及以下, 129 , 100.00 , 45.29 , 54.71 , 13.62 , 8.54 , 4.77 , 5.91 ,, 17.33 , 3.40 , 3.24 , 5.08 , 7.97 , 4.66 , 0.91 , 0.52 , 0.46 , 7.70 , 16.92 , 18.78 
高中（職）, 941 , 100.00 , 32.76 , 67.24 , 20.92 , 16.81 , 8.76 , 12.64 ,, 22.91 , 4.67 , 3.61 , 4.12 , 9.23 , 6.20 , 0.74 , 1.87 , 2.91 , 6.03 , 17.06 , 20.82 
