表34、青年勞工離開第一份工作的原因,,,,,,,,,,,─按性別、年齡、教育程度別分,,,,,,,,,,,
,,,,,,,,,中華民國,,99年10月,,,,,,,,,,,單位：人，%，月
項    目    別,樣 本 數,合計,"目前工作為第一份
工作",不是第一份工作，離開的原因,,,,,,,,,,,,,,,,,,
,,,,計,"待遇及
福利差","工作無
發展前景",性向不合,"工作環境
不佳"," 想更換
工作地點",,"個人技能
無法有效
發揮","公司經營
困難","家庭或
健康因素","工作太累
壓力大","與同事或
主管相處
困難","想自行
開創事業",被解僱,準備考試,當兵,繼續就學,其他,"平均第一
份工作做
幾個月"
,,,,,,,,,,,,,,,,,,,,,,
總                                 計," 4,014 ", 100.00 , 41.30 , 58.70 , 17.39 , 17.64 , 7.13 , 9.27 , 15.19 ,, 5.78 , 4.83 , 3.92 , 8.14 , 4.71 , 1.11 , 1.49 , 4.19 , 2.63 , 0.67 , 5.76 , 15.74 
  性別,,,,,,,,,,,,,,,,,,,,,,
男性," 1,859 ", 100.00 , 43.86 , 56.14 , 17.07 , 16.44 , 7.01 , 9.21 , 13.88 ,, 5.12 , 4.18 , 2.67 , 6.59 , 4.20 , 1.48 , 1.77 , 3.41 , 5.22 , 0.14 , 4.93 , 15.04 
女性," 2,155 ", 100.00 , 38.73 , 61.27 , 17.71 , 18.83 , 7.26 , 9.34 , 16.50 ,, 6.44 , 5.49 , 5.17 , 9.70 , 5.22 , 0.73 , 1.21 , 4.97 , 0.03 , 1.21 , 6.59 , 16.38 
  年齡別    ,,,,,,,,,,,,,,,,,,,,,,
15~19歲, 139 , 100.00 , 64.01 , 35.99 , 8.76 , 5.93 , 2.99 , 4.08 , 7.56 ,, 4.54 , 6.37 , 1.89 , 3.31 , 5.15 , 0.50 , 2.41 , 4.08 , - , 1.63 , 5.49 , 8.50 
20~24歲, 955 , 100.00 , 51.62 , 48.38 , 13.89 , 12.52 , 5.48 , 7.13 , 12.21 ,, 4.54 , 2.67 , 2.79 , 5.75 , 4.44 , 0.79 , 1.28 , 4.30 , 3.00 , 0.94 , 4.67 , 12.62 
25~29歲," 2,920 ", 100.00 , 34.45 , 65.55 , 19.81 , 21.08 , 8.29 , 10.75 , 17.29 ,, 6.44 , 5.56 , 4.62 , 9.68 , 4.77 , 1.31 , 1.47 , 4.16 , 2.77 , 0.46 , 6.24 , 17.14 
  教育程度別,,,,,,,,,,,,,,,,,,,,,,
國中及以下, 203 , 100.00 , 38.27 , 61.73 , 18.20 , 10.19 , 6.46 , 6.02 , 15.82 ,, 2.24 , 3.14 , 5.78 , 7.82 , 6.55 , 0.10 , 3.28 , 1.33 , 2.20 , - , 7.01 , 12.18 
高中(職)," 1,088 ", 100.00 , 34.84 , 65.16 , 18.73 , 15.88 , 7.05 , 9.03 , 18.03 ,, 6.02 , 5.60 , 4.58 , 7.37 , 5.76 , 1.72 , 1.76 , 3.74 , 5.75 , 0.89 , 4.39 , 16.62 
專科, 440 , 100.00 , 24.40 , 75.60 , 24.60 , 27.62 , 7.96 , 10.68 , 20.57 ,, 5.65 , 5.12 , 4.77 , 10.06 , 5.85 , 2.80 , 0.64 , 4.13 , 3.13 , 0.90 , 5.55 , 19.54 
大學," 2,017 ", 100.00 , 45.99 , 54.01 , 16.40 , 18.49 , 7.89 , 10.22 , 12.99 ,, 6.62 , 4.74 , 3.25 , 8.60 , 3.85 , 0.53 , 1.28 , 4.80 , 0.89 , 0.44 , 6.54 , 14.58 
碩士及以上, 266 , 100.00 , 65.03 , 34.97 , 7.03 , 11.26 , 2.09 , 4.99 , 9.12 ,, 2.69 , 3.33 , 2.65 , 5.93 , 2.68 , 0.68 , 1.47 , 4.64 , 0.44 , 1.53 , 5.64 , 13.87 
專科以上科系別,,,,,,,,,,,,,,,,,,,,,,
人文, 447 , 100.00 , 43.09 , 56.91 , 15.73 , 17.74 , 8.24 , 9.59 , 11.46 ,, 9.61 , 6.12 , 1.84 , 8.43 , 6.09 , 0.40 , 0.80 , 5.32 , 1.38 , 0.86 , 6.01 , 14.18 
社會," 1,189 ", 100.00 , 41.31 , 58.69 , 16.93 , 22.37 , 7.33 , 9.32 , 15.72 ,, 4.82 , 4.77 , 3.85 , 9.88 , 4.00 , 0.94 , 0.89 , 5.21 , 0.70 , 0.42 , 7.59 , 16.76 
科技," 1,159 ", 100.00 , 49.03 , 50.97 , 16.57 , 16.49 , 6.58 , 9.98 , 12.46 ,, 5.76 , 3.91 , 3.69 , 6.96 , 3.17 , 1.17 , 1.57 , 3.96 , 1.73 , 0.75 , 5.09 , 14.69 
說明1：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,,,,,,,,,,
